global_order,image_path,variant,hardware_source,native_pixels,image_dir,marker_sha256,wall_seconds,gradient_seconds,reference_seconds
1,train/attack/digital_1/huawei/arabic-024_03.jpg,digital_1,huawei,6328881,/home/u5757978/ForgedDocDeepID/output/LABPC/trufor_adversarial_localisation_attack/full_population/images/01_c059abb99123,8892c6b4afe233e7d14e8db9ecd24a98693e3aaccc038c81703472d0ad685eff,1050.9928027879998,582.4348013190003,426.29370259700033
2,train/attack/digital_1/iphone15pro/arabic-024_03.jpg,digital_1,iphone15pro,4840212,/home/u5757978/ForgedDocDeepID/output/LABPC/trufor_adversarial_localisation_attack/full_population/images/02_8a15bc3597b8,5f172c165c21ee70270029d49d2a72687244743f086283de32daff517801b0a8,95.65699516699988,58.50515000599967,21.75823389300035
3,train/attack/digital_1/scan/arabic-024_03.jpg,digital_1,scan,2491732,/home/u5757978/ForgedDocDeepID/output/LABPC/trufor_adversarial_localisation_attack/full_population/images/03_79b9e6078a93,dd63644d04b5267e94087ba79db17f03f97213001eb2a41f2df7c40da2d5627b,33.248906154999986,17.373939926999583,7.037337645999742
4,train/attack/digital_2/huawei/arabic-024_03.jpg,digital_2,huawei,6328881,/home/u5757978/ForgedDocDeepID/output/LABPC/trufor_adversarial_localisation_attack/full_population/images/04_098c59508303,b38ad36f5bb5629b8577d5bd65acde8abe2914c9940f11e0ab17fb3e90bd9ad1,1083.8298539419998,566.1104264179999,477.43612904300016
5,train/attack/digital_2/iphone15pro/arabic-024_03.jpg,digital_2,iphone15pro,4840212,/home/u5757978/ForgedDocDeepID/output/LABPC/trufor_adversarial_localisation_attack/full_population/images/05_af12047648ad,d858b603c7a5b6d76ee844ec6ee3529d8ec3bb693544d77544ff300255e95f65,122.51672976500004,75.82799214299985,28.60070350800015
6,train/attack/digital_2/scan/arabic-024_03.jpg,digital_2,scan,2491732,/home/u5757978/ForgedDocDeepID/output/LABPC/trufor_adversarial_localisation_attack/full_population/images/06_fbed0fa88c98,da44ac3e1fb9e031ac4307cb9b5e0ccc1f10930f65f538134aa666e12f3a2531,32.4188458829999,17.298342749999392,6.991045275999568
7,train/attack/digital_1/huawei/arabic-120_03.jpg,digital_1,huawei,6247484,/home/u5757978/ForgedDocDeepID/output/LABPC/trufor_adversarial_localisation_attack/full_population/images/07_0276e20a0ead,3f84072d0f01409623a8c15c420846bda416af9c640cfc43b573bd7063cd8ec5,701.9302351819997,372.65128865099996,290.03986241099983
8,train/attack/digital_1/iphone15pro/arabic-120_03.jpg,digital_1,iphone15pro,4808016,/home/u5757978/ForgedDocDeepID/output/LABPC/trufor_adversarial_localisation_attack/full_population/images/08_e1549485f43a,a7cd4b3173e8131008b182f00332f06596d90b9183de57dbf762eb527e163537,108.54349717599962,67.08768165899937,24.127184991999457
9,train/attack/digital_1/scan/arabic-120_03.jpg,digital_1,scan,2488008,/home/u5757978/ForgedDocDeepID/output/LABPC/trufor_adversarial_localisation_attack/full_population/images/09_5f783b197c8a,548b70a7080db9ab31a54dc15b69427707c81b16644c7b67cdb6c5e520b5087a,33.00236668200023,17.306671275998724,6.975159206000171
10,train/attack/digital_2/huawei/arabic-120_03.jpg,digital_2,huawei,6247484,/home/u5757978/ForgedDocDeepID/output/LABPC/trufor_adversarial_localisation_attack/full_population/images/10_98468458e77c,9a0ae329bac61de0cbcae40384565a9f25f17955ce049b62b4608484865fd243,698.6997688030006,369.2179057289991,289.2222115279992
11,train/attack/digital_2/iphone15pro/arabic-120_03.jpg,digital_2,iphone15pro,4808016,/home/u5757978/ForgedDocDeepID/output/LABPC/trufor_adversarial_localisation_attack/full_population/images/11_d6f31557c840,c4e9813ddcd6bd9b6b44f945ad76b8e42946d8f481f790061b79f6010e05f25d,108.56934154200007,66.83981621800103,24.15361672099789
12,train/attack/digital_2/scan/arabic-120_03.jpg,digital_2,scan,2488008,/home/u5757978/ForgedDocDeepID/output/LABPC/trufor_adversarial_localisation_attack/full_population/images/12_e0ba0cf07d62,36a3cb9d2f88f035cda60ae1d2ba7cf2ea42c9da3e241f9e5977f56812238129,32.20991854500062,17.29325457500181,7.016584316002991
13,train/attack/digital_1/huawei/arabic-NF-1048.jpg,digital_1,huawei,5758095,/home/u5757978/ForgedDocDeepID/output/LABPC/trufor_adversarial_localisation_attack/full_population/images/13_109430720360,394e1178d13f69b674991cebda6b9515c0c17d45f5607126adab290084e1b8aa,472.45545540999956,260.2677004139978,181.11461948800297
14,train/attack/digital_1/iphone15pro/arabic-NF-1048.jpg,digital_1,iphone15pro,4219545,/home/u5757978/ForgedDocDeepID/output/LABPC/trufor_adversarial_localisation_attack/full_population/images/14_b270f8c9b09e,be5c092b795604396c5f866f747b9b9739342c879a7949aebee2eb67d5811cb6,65.12696836899977,37.76432604599995,13.83127401800175
15,train/attack/digital_1/scan/arabic-NF-1048.jpg,digital_1,scan,2502240,/home/u5757978/ForgedDocDeepID/output/LABPC/trufor_adversarial_localisation_attack/full_population/images/15_f425baf8e50a,8488542eb40fc82a20b5d22d5416daece9254bbb80926e105ad3763305b87812,32.549203627999304,17.240468045999478,6.9905552939999325
16,train/attack/digital_2/huawei/arabic-NF-1048.jpg,digital_2,huawei,5758095,/home/u5757978/ForgedDocDeepID/output/LABPC/trufor_adversarial_localisation_attack/full_population/images/16_c09d0d826273,30e3cb5875b71611ebc5b7121d8474f412ef66e4ed222919605f93cdd6c0c4be,473.04932686899974,260.73097673100165,181.0385962650007
17,train/attack/digital_2/iphone15pro/arabic-NF-1048.jpg,digital_2,iphone15pro,4219545,/home/u5757978/ForgedDocDeepID/output/LABPC/trufor_adversarial_localisation_attack/full_population/images/17_b94c3b91cfb4,9bf9081b3342b333a86bcd563094ece4abb2138ab63b22de88cf2debb600951b,64.8143623169999,37.807660607998514,13.776138311001887
18,train/attack/digital_2/scan/arabic-NF-1048.jpg,digital_2,scan,2502240,/home/u5757978/ForgedDocDeepID/output/LABPC/trufor_adversarial_localisation_attack/full_population/images/18_cdd8866c72c7,cd7101fc4b9d28004750f9cf06d772cf5d25f519320240329f30d462fac94255,32.04546293599924,17.341027756995572,6.894017454999812
19,train/attack/digital_1/huawei/arabic-NF-1098.jpg,digital_1,huawei,5752078,/home/u5757978/ForgedDocDeepID/output/LABPC/trufor_adversarial_localisation_attack/full_population/images/19_795dc6e7fad7,b94c8d5efc564696a189b52d400d05e45cf8629295cde68f8e2fe758b31a1bfc,463.8826109360007,255.84634033700058,175.78539589499815
20,train/attack/digital_1/iphone15pro/arabic-NF-1098.jpg,digital_1,iphone15pro,4219392,/home/u5757978/ForgedDocDeepID/output/LABPC/trufor_adversarial_localisation_attack/full_population/images/20_aff0336f2532,4dfc4523a68b52adf976f8fa81e55e2d497055365b351344b1ae2701c16b1146,63.98841800599985,37.26862197100036,13.43851547199938
21,train/attack/digital_1/scan/arabic-NF-1098.jpg,digital_1,scan,2496000,/home/u5757978/ForgedDocDeepID/output/LABPC/trufor_adversarial_localisation_attack/full_population/images/21_74f92af0e67a,65f6342df72b0e957e4da173fb4cd6d9531a813fde64a3d676af6b53f290b562,32.19409366899981,17.105739355001788,6.816652968000199
22,train/attack/digital_2/huawei/arabic-NF-1098.jpg,digital_2,huawei,5752078,/home/u5757978/ForgedDocDeepID/output/LABPC/trufor_adversarial_localisation_attack/full_population/images/22_2b7e373888ff,d7c632266a37895cd91d81c56daf279b7dcb5f8b09a7642328821f6ba8e785a4,454.54080044000057,251.82722319399818,171.6535824119992
