global_order,shard_order,pilot_order,pilot_role,eval_split,variant,hardware_source,file_stem,image_path,cache_path,cache_sha256,clean_score_stage4,native_height,native_width,native_pixels,A_union_stage4,E_union_stage4,mu_union_stage4,PG_union_stage4,estimated_seconds,shard_id,estimated_shard_seconds
435,1,435,full_population,official_test,digital_3,huawei,portugal-NF-1024,test/attack/digital_3/huawei/portugal-NF-1024.jpg,data/processed/policy_c_official_test/test/attack/digital_3/huawei/portugal-NF-1024.jpg,a70515e37b64f1d95c7cacde88451e2b0c9b7cf7c7aeb890f8cfe0687415d796,0.999964475631714,1976,3212,6346912,0.0324247445056745,0.9722175416920692,29.983815031200137,1.0,849.7371374840004,2,111509.28565729888
485,2,485,full_population,official_test,digital_3,huawei,turkiye-104_03,test/attack/digital_3/huawei/turkiye-104_03.jpg,data/processed/policy_c_official_test/test/attack/digital_3/huawei/turkiye-104_03.jpg,266318c7992ab674c462966281d551485779669e00c053167f83a9df14e82366,0.9976502060890198,1981,3202,6343162,0.0263083301356642,0.7171832810194821,27.260691853917837,1.0,849.7371374840004,2,111509.28565729888
502,3,502,full_population,official_test,digital_3,huawei,ukraine-007_03,test/attack/digital_3/huawei/ukraine-007_03.jpg,data/processed/policy_c_official_test/test/attack/digital_3/huawei/ukraine-007_03.jpg,48b83388fad2fd0101f424583d436eb809dee0e5bc32a61a66937dfc3f678311,0.999836802482605,1967,3226,6345542,0.0255352497863854,0.9139815337576348,35.79293491951424,1.0,849.7371374840004,2,111509.28565729888
1226,4,1226,full_population,official_test,textdiffuserft_bfei,huawei,singapore-flickr_M_37019084692_714cba8ac1_k,test/attack/textdiffuserft_bfei/huawei/singapore-flickr_M_37019084692_714cba8ac1_k.jpg,data/processed/policy_c_official_test/test/attack/textdiffuserft_bfei/huawei/singapore-flickr_M_37019084692_714cba8ac1_k.jpg,c70bc9127b0ad0098e64f6d9f745eae1ffe3d1b385b1485555798dc984ea62fa,0.9995834231376648,1991,3189,6349299,0.0367713034147549,0.9014836173080782,24.515954932028524,1.0,849.7371374840004,2,111509.28565729888
413,5,413,full_population,official_test,digital_3,huawei,persian-NF-1097,test/attack/digital_3/huawei/persian-NF-1097.jpg,data/processed/policy_c_official_test/test/attack/digital_3/huawei/persian-NF-1097.jpg,98f4559847f7749533d5c811fe49d63fc83612ebcc552a85940fb638c0e86157,0.9930253028869628,1977,3214,6354078,0.0229252772786232,0.6385979804141251,27.855627334531185,1.0,843.8033844829988,2,111509.28565729888
384,6,384,full_population,official_test,digital_3,huawei,indian-021_03,test/attack/digital_3/huawei/indian-021_03.jpg,data/processed/policy_c_official_test/test/attack/digital_3/huawei/indian-021_03.jpg,8c200d24d94f652d024c6fd5aba5104eaee29b9b9e9d4614492bb7d02bd2112d,0.9969568252563475,1978,3215,6359270,0.0342544034142283,0.8245313211123113,24.070812477493718,1.0,839.6994524699985,2,111509.28565729888
484,7,484,full_population,official_test,digital_3,huawei,turkiye-101_03,test/attack/digital_3/huawei/turkiye-101_03.jpg,data/processed/policy_c_official_test/test/attack/digital_3/huawei/turkiye-101_03.jpg,ab4f569646655f066356b1dd9bc35b116b4f9dd17296a83e4c7527d973624961,0.9995235204696656,1982,3211,6364202,0.0259097684202984,0.9029851572438842,34.85114735863333,1.0,839.6994524699985,2,111509.28565729888
488,8,488,full_population,official_test,digital_3,huawei,turkiye-126_03,test/attack/digital_3/huawei/turkiye-126_03.jpg,data/processed/policy_c_official_test/test/attack/digital_3/huawei/turkiye-126_03.jpg,5f9674dda0ad8eb413a82b223cfe67b445ba309c985464b6b2a510bcf7b1798c,0.9683181643486024,1975,3217,6353575,0.0253356574841722,0.414854206143404,16.374321700653397,1.0,839.6994524699985,2,111509.28565729888
506,9,506,full_population,official_test,digital_3,huawei,ukraine-01_0083_000-21b44038_0,test/attack/digital_3/huawei/ukraine-01_0083_000-21b44038_0.jpg,data/processed/policy_c_official_test/test/attack/digital_3/huawei/ukraine-01_0083_000-21b44038_0.jpg,d7bcb04a7569b7a5e50f5ceb4b69bf292e8a6c366316ec23d670cc118c8191c2,0.9988119602203368,1980,3203,6341940,0.0250683544782826,0.7231067978736999,28.845403414896857,1.0,839.6994524699985,2,111509.28565729888
348,10,348,full_population,official_test,digital_3,huawei,french-01_0029_000-d00491e2_1,test/attack/digital_3/huawei/french-01_0029_000-d00491e2_1.jpg,data/processed/policy_c_official_test/test/attack/digital_3/huawei/french-01_0029_000-d00491e2_1.jpg,8c8700d6ed9d6039f9c4f56ac52b357633ef967dda26245ad462253908902c63,0.9979669451713562,1988,3208,6377504,0.029224756268283,0.8422774574407221,28.82068372815917,1.0,836.6538067969996,2,111509.28565729888
