global_order,shard_order,pilot_order,pilot_role,eval_split,variant,hardware_source,file_stem,image_path,cache_path,cache_sha256,clean_score_stage4,native_height,native_width,native_pixels,A_union_stage4,E_union_stage4,mu_union_stage4,PG_union_stage4,estimated_seconds,shard_id,estimated_shard_seconds
499,1,499,full_population,official_test,digital_3,huawei,turkiye-NM-1033,test/attack/digital_3/huawei/turkiye-NM-1033.jpg,data/processed/policy_c_official_test/test/attack/digital_3/huawei/turkiye-NM-1033.jpg,4a6fe7e21000634955b52e93a9a2c8679d33f504b34fe2c277cdd0ab5c119da1,0.9957019686698914,1977,3206,6338262,0.0267338270333413,0.7737957439591207,28.944443419719697,1.0,899.6408357420005,4,25919.642277482897
453,2,453,full_population,official_test,digital_3,huawei,russian-062_03,test/attack/digital_3/huawei/russian-062_03.jpg,data/processed/policy_c_official_test/test/attack/digital_3/huawei/russian-062_03.jpg,4d1afc14a0028dac347edfbe915cfe4f7e8f4243266b89ab9eb63d7574bb8f78,0.9997410178184508,1973,3205,6323465,0.0272508822299166,0.8521418480814159,31.270248092955843,1.0,828.0774253920026,4,25919.642277482897
480,3,480,full_population,official_test,digital_3,huawei,turkiye-041_03,test/attack/digital_3/huawei/turkiye-041_03.jpg,data/processed/policy_c_official_test/test/attack/digital_3/huawei/turkiye-041_03.jpg,88e048aa5f86faa912e3f59c01fe017aa8cf7c50cc2c538f48f433dd4c47a6a9,0.9983160495758056,1980,3196,6328080,0.0245453597299654,0.8491564152208756,34.595394997784766,1.0,828.0774253920026,4,25919.642277482897
376,4,376,full_population,official_test,digital_3,huawei,indian-01_0005_000-59069fdd_1,test/attack/digital_3/huawei/indian-01_0005_000-59069fdd_1.jpg,data/processed/policy_c_official_test/test/attack/digital_3/huawei/indian-01_0005_000-59069fdd_1.jpg,1f025fa55235a01685044ce406cf4fdd54ad329fa360d85b2abffa136718da4e,0.9974530339241028,1972,3204,6318288,0.0364817178324254,0.854448938358654,23.42129124191644,1.0,825.0868478999982,4,25919.642277482897
410,5,410,full_population,official_test,digital_3,huawei,persian-NF-1034,test/attack/digital_3/huawei/persian-NF-1034.jpg,data/processed/policy_c_official_test/test/attack/digital_3/huawei/persian-NF-1034.jpg,7a54f058b59ec4a5b46f33990526b4cf6160e5e2392d0661d1ddc768d6b5edff,0.989721953868866,1973,3200,6313600,0.0282078370501773,0.7165321879538147,25.401883408473125,1.0,821.8694401759931,4,25919.642277482897
360,6,360,full_population,official_test,digital_3,huawei,french-118_03,test/attack/digital_3/huawei/french-118_03.jpg,data/processed/policy_c_official_test/test/attack/digital_3/huawei/french-118_03.jpg,9b96c02acce0421763da656d1c9015768bae3d85b3debcbe7a7b0a07c535a57b,0.9994649291038512,1975,3194,6308150,0.0313822594580027,0.87960663658027,28.02878606485942,1.0,776.2231236149964,4,25919.642277482897
477,7,477,full_population,official_test,digital_3,huawei,turkiye-031_03,test/attack/digital_3/huawei/turkiye-031_03.jpg,data/processed/policy_c_official_test/test/attack/digital_3/huawei/turkiye-031_03.jpg,4b40a882d376b1e2fd0d04f68f81505bb849a51735981863b0f7ee910aa0a494,0.9957284331321716,1974,3197,6310878,0.0272462880759222,0.82569967160994,30.305033452964818,1.0,776.2231236149964,4,25919.642277482897
362,8,362,full_population,official_test,digital_3,huawei,french-128_03,test/attack/digital_3/huawei/french-128_03.jpg,data/processed/policy_c_official_test/test/attack/digital_3/huawei/french-128_03.jpg,8145a848a671913e325f5f0c75d0d7424a6369cdb04e45a6fe2dd46a2f3ad85d,0.9978654980659484,1972,3192,6294624,0.0304135719623602,0.8662489138578889,28.48231424214018,1.0,744.8116985540009,4,25919.642277482897
459,9,459,full_population,official_test,digital_3,huawei,russian-NF-1013,test/attack/digital_3/huawei/russian-NF-1013.jpg,data/processed/policy_c_official_test/test/attack/digital_3/huawei/russian-NF-1013.jpg,f7095e9404de18d5966e1929a6d70621c9d2810dc50ef67795aeb7af1d551902,0.9488829374313354,1970,3194,6292180,0.0201583552918066,0.3740511518477463,18.555638415589343,1.0,744.8116985540009,4,25919.642277482897
1211,10,1211,full_population,official_test,textdiffuserft_bfei,huawei,netherland-flickr_M_31998389253_0a26f25b0d_h,test/attack/textdiffuserft_bfei/huawei/netherland-flickr_M_31998389253_0a26f25b0d_h.jpg,data/processed/policy_c_official_test/test/attack/textdiffuserft_bfei/huawei/netherland-flickr_M_31998389253_0a26f25b0d_h.jpg,fef23c422f05b78a11d9f10a6e88fc71273adbd704da5961c9dbc5f3acf95973,0.9997506737709044,1982,3173,6288886,0.0412368740664085,0.8533489891344674,20.69383309123333,1.0,744.8116985540009,4,25919.642277482897
479,11,479,full_population,official_test,digital_3,huawei,turkiye-036_03,test/attack/digital_3/huawei/turkiye-036_03.jpg,data/processed/policy_c_official_test/test/attack/digital_3/huawei/turkiye-036_03.jpg,6d70ebe6b176c428f2635d8b4db0c9006533131ece3845edfc83aba3217bde7a,0.999561846256256,1967,3203,6300301,0.0265496838960551,0.7969554405070367,30.01751145615154,1.0,740.8321811219976,4,25919.642277482897
293,12,293,full_population,official_test,digital_3,huawei,arabic-01_0095_000-18471808_1,test/attack/digital_3/huawei/arabic-01_0095_000-18471808_1.jpg,data/processed/policy_c_official_test/test/attack/digital_3/huawei/arabic-01_0095_000-18471808_1.jpg,b17c599d1492b7a466ebb615a077da1cbc941f515cf420bf4e405e06c5aac8ad,0.9395004510879515,1971,3185,6277635,0.0432960820436358,0.2855689175903718,6.595721924735864,1.0,738.4537406050003,4,25919.642277482897
296,13,296,full_population,official_test,digital_3,huawei,arabic-120_03,test/attack/digital_3/huawei/arabic-120_03.jpg,data/processed/policy_c_official_test/test/attack/digital_3/huawei/arabic-120_03.jpg,5cf6b59d26a2707f6340d9440847ed5b7fe71c7dec341efd4c5646485eb4fdde,0.9991248250007628,1964,3181,6247484,0.0433926681524914,0.7752197652772026,17.86522466313683,1.0,738.4537406050003,4,25919.642277482897
300,14,300,full_population,official_test,digital_3,huawei,arabic-NF-1003,test/attack/digital_3/huawei/arabic-NF-1003.jpg,data/processed/policy_c_official_test/test/attack/digital_3/huawei/arabic-NF-1003.jpg,70b92d6873d4c8df3708e53230372f8db1685eefca99a2ec41f16efc00a63352,0.9981118440628052,1963,3190,6261970,0.0436327545484887,0.7646075595322182,17.52370592790597,1.0,738.4537406050003,4,25919.642277482897
333,15,333,full_population,official_test,digital_3,huawei,chinese-113_03,test/attack/digital_3/huawei/chinese-113_03.jpg,data/processed/policy_c_official_test/test/attack/digital_3/huawei/chinese-113_03.jpg,e518730527a65dd11fead08612c83135ab4f1d935f1f1b95995f85c846deb1c0,0.990772008895874,1973,3178,6270194,0.0304110207754337,0.6220888876267252,20.456034416616934,1.0,738.4537406050003,4,25919.642277482897
422,16,422,full_population,official_test,digital_3,huawei,portugal-026_03,test/attack/digital_3/huawei/portugal-026_03.jpg,data/processed/policy_c_official_test/test/attack/digital_3/huawei/portugal-026_03.jpg,4a1e65de6b359ab562e9694be8cbb76ff3da03d0c786e42ada7d5721b9dc0704,0.9998681545257568,1967,3195,6284565,0.039356104996925,0.9268033523487232,23.549163526754917,1.0,738.4537406050003,4,25919.642277482897
1114,17,1114,full_population,official_test,facedancer,huawei,singapore-flickr_M_21893334161_8c8b011508_k,test/attack/facedancer/huawei/singapore-flickr_M_21893334161_8c8b011508_k.jpg,data/processed/policy_c_official_test/test/attack/facedancer/huawei/singapore-flickr_M_21893334161_8c8b011508_k.jpg,ea4804f0e022da3a760dc2162928d13287469aaf79d770ac10a6547e2f53e32f,0.6248690485954285,1969,3163,6227947,0.0311691798276382,0.03880569558674,1.2450021399770814,0.0,738.4537406050003,4,25919.642277482897
1129,18,1129,full_population,official_test,facedancer,iphone15,chinese2-flickr_M_26097180114_4c514c928d_c,test/attack/facedancer/iphone15/chinese2-flickr_M_26097180114_4c514c928d_c.jpg,data/processed/policy_c_official_test/test/attack/facedancer/iphone15/chinese2-flickr_M_26097180114_4c514c928d_c.jpg,526fb72960aafefa1762ff1b1b26dc8372f45cc86d659e98f96c4765aef12eb9,0.8318745493888855,1726,2769,4779294,0.0757015575940714,0.2378463913992853,3.141895609000155,0.0,606.8713243005004,4,25919.642277482897
1131,19,1131,full_population,official_test,facedancer,iphone15,chinese2-flickr_M_31840786965_77af814416_h,test/attack/facedancer/iphone15/chinese2-flickr_M_31840786965_77af814416_h.jpg,data/processed/policy_c_official_test/test/attack/facedancer/iphone15/chinese2-flickr_M_31840786965_77af814416_h.jpg,fb4eef6f787f91e51ffeb04604eb25b376de31d6a7f2a3c35625cba56b2e2d0a,0.6038033366203308,1744,2774,4837856,0.0819197594967688,0.1755079530480476,2.1424373573139004,1.0,606.8713243005004,4,25919.642277482897
1242,20,1242,full_population,official_test,textdiffuserft_bfei,iphone15,chinese2-flickr_M_31304800026_59e0161aba_c,test/attack/textdiffuserft_bfei/iphone15/chinese2-flickr_M_31304800026_59e0161aba_c.jpg,data/processed/policy_c_official_test/test/attack/textdiffuserft_bfei/iphone15/chinese2-flickr_M_31304800026_59e0161aba_c.jpg,85c8245277765a24e13813d3be0b6d16cf598db71b21685080143f11011d1aa2,0.992258846759796,1732,2767,4792444,0.0419036716965289,0.8252198426852242,19.693258592267476,1.0,606.8713243005004,4,25919.642277482897
1249,21,1249,full_population,official_test,textdiffuserft_bfei,iphone15,chinese2-flickr_M_37190875605_735b3fca0d_c,test/attack/textdiffuserft_bfei/iphone15/chinese2-flickr_M_37190875605_735b3fca0d_c.jpg,data/processed/policy_c_official_test/test/attack/textdiffuserft_bfei/iphone15/chinese2-flickr_M_37190875605_735b3fca0d_c.jpg,0940d8c8a39ba5293e4ee146aec4359c3432898a251e8422c446d023637abe0b,0.9904864430427552,1741,2775,4831275,0.0423099492370026,0.7403734944439677,17.498803657189583,1.0,606.8713243005004,4,25919.642277482897
1256,22,1256,full_population,official_test,textdiffuserft_bfei,iphone15,netherland-flickr_F_36412358965_0ec43e5de3_c,test/attack/textdiffuserft_bfei/iphone15/netherland-flickr_F_36412358965_0ec43e5de3_c.jpg,data/processed/policy_c_official_test/test/attack/textdiffuserft_bfei/iphone15/netherland-flickr_F_36412358965_0ec43e5de3_c.jpg,0d410d6330893c43f42d3af0933d93f5e1415af85060260cc42198471d49d6d9,0.99978107213974,1733,2772,4803876,0.033984640735939,0.8492768267400157,24.99001926602384,1.0,606.8713243005004,4,25919.642277482897
1260,23,1260,full_population,official_test,textdiffuserft_bfei,iphone15,netherland-flickr_M_21260956694_6fd7ae0222_k,test/attack/textdiffuserft_bfei/iphone15/netherland-flickr_M_21260956694_6fd7ae0222_k.jpg,data/processed/policy_c_official_test/test/attack/textdiffuserft_bfei/iphone15/netherland-flickr_M_21260956694_6fd7ae0222_k.jpg,f3574f99b3a861f76b1944bc289440e319ad0bfc3fdc580331f3339dfb0d5c58,0.9872801899909972,1745,2777,4845865,0.0376692293326372,0.5295022588234236,14.056625744786729,1.0,606.8713243005004,4,25919.642277482897
1264,24,1264,full_population,official_test,textdiffuserft_bfei,iphone15,netherland-flickr_M_31998818913_b87fd05689_h,test/attack/textdiffuserft_bfei/iphone15/netherland-flickr_M_31998818913_b87fd05689_h.jpg,data/processed/policy_c_official_test/test/attack/textdiffuserft_bfei/iphone15/netherland-flickr_M_31998818913_b87fd05689_h.jpg,68c2c7f34a2e9c0ce10c022408b41827a2cd4c0d3c0abf9e9c6fb30fa2490c49,0.977332592010498,1736,2773,4813928,0.0360938094628752,0.6648433861907634,18.419872994414657,1.0,606.8713243005004,4,25919.642277482897
1274,25,1274,full_population,official_test,textdiffuserft_bfei,iphone15,singapore-flickr_F_31294646850_53ce869b2e_b,test/attack/textdiffuserft_bfei/iphone15/singapore-flickr_F_31294646850_53ce869b2e_b.jpg,data/processed/policy_c_official_test/test/attack/textdiffuserft_bfei/iphone15/singapore-flickr_F_31294646850_53ce869b2e_b.jpg,a15bfdbfc6bc6f7c60cbcbe04c8b4159a6c204466aaffdf4ed8404cb490a6d00,0.999933123588562,1749,2777,4856973,0.0434509312693317,0.8727662202363514,20.08624889594396,1.0,606.8713243005004,4,25919.642277482897
390,26,390,full_population,official_test,digital_3,huawei,indian-NF-1025,test/attack/digital_3/huawei/indian-NF-1025.jpg,data/processed/policy_c_official_test/test/attack/digital_3/huawei/indian-NF-1025.jpg,e0b98f90a869387f325eb53272d1aec20df18cf6b8e75c107b1879b69e9154fa,0.9963120818138124,1890,3046,5756940,0.0306553481537066,0.6562574245965028,21.407599786699933,1.0,482.27768295699934,4,25919.642277482897
430,27,430,full_population,official_test,digital_3,huawei,portugal-125_03,test/attack/digital_3/huawei/portugal-125_03.jpg,data/processed/policy_c_official_test/test/attack/digital_3/huawei/portugal-125_03.jpg,4c3b32327354b72cbe1401c9eb37e88a2964d5478738583cbfa09a6a349102ac,0.999373733997345,1879,3033,5699007,0.0341108547506609,0.8311005329525281,24.36469384973193,1.0,482.27768295699934,4,25919.642277482897
439,28,439,full_population,official_test,digital_3,huawei,portugal-NF-1066,test/attack/digital_3/huawei/portugal-NF-1066.jpg,data/processed/policy_c_official_test/test/attack/digital_3/huawei/portugal-NF-1066.jpg,32f3fb6205245f6876e18d8ff82b3129f011e032192e328edbce52946a7b4793,0.9990828037261964,1887,3037,5730819,0.032073600649401,0.9142021394947404,28.50325878556488,1.0,482.27768295699934,4,25919.642277482897
494,29,494,full_population,official_test,digital_3,huawei,turkiye-NF-1008,test/attack/digital_3/huawei/turkiye-NF-1008.jpg,data/processed/policy_c_official_test/test/attack/digital_3/huawei/turkiye-NF-1008.jpg,599202fb23e4e2f51f42408dd04e16737c2d35d1273fa2710996369f2852a3cc,0.9986975193023682,1899,3047,5786253,0.0253086064504956,0.7469255940682962,29.51271124031672,1.0,482.27768295699934,4,25919.642277482897
498,30,498,full_population,official_test,digital_3,huawei,turkiye-NM-1019,test/attack/digital_3/huawei/turkiye-NM-1019.jpg,data/processed/policy_c_official_test/test/attack/digital_3/huawei/turkiye-NM-1019.jpg,5f02fafeea0d3264a8fbbeaf0bd509ef103ff25318e7559b4324668d68eba28b,0.9981422424316406,1883,3035,5714905,0.024671976174582,0.7971257243343636,32.30895323073431,1.0,482.27768295699934,4,25919.642277482897
