scope,group,n,score_abs_diff_mean,score_abs_diff_median,score_abs_diff_p95,score_abs_diff_max,decision_flips,home_accuracy,lab_accuracy,home_attack_recall,lab_attack_recall,home_bonafide_specificity,lab_bonafide_specificity,home_auroc,lab_auroc
overall,all,1844,6.027535864674857e-08,0.0,2.384185791015625e-07,1.1265277862548828e-05,0,0.8318872017353579,0.8318872017353579,0.9561466570812365,0.9561466570812365,0.4503311258278146,0.4503311258278146,0.9230959669778758,0.9230959669778758
eval_split,dev_val,459,1.1735881855158259e-07,5.960464477539063e-08,3.5762786865234375e-07,1.1265277862548828e-05,0,0.7864923747276689,0.7864923747276689,0.9411764705882353,0.9411764705882353,0.477124183006536,0.477124183006536,0.8428382246144646,0.8428382246144646
eval_split,official_test,1385,4.135744666384689e-08,0.0,1.7881393432617188e-07,3.933906555175781e-06,0,0.8469314079422383,0.8469314079422383,0.96036866359447,0.96036866359447,0.43666666666666665,0.43666666666666665,0.9439477726574502,0.9439477726574502
attack_family,digital_1,153,4.28530125821629e-08,0.0,1.788139342595585e-07,7.152557373046875e-07,0,1.0,1.0,1.0,1.0,,,,
attack_family,digital_2,153,1.2914339701262073e-07,8.940696710757479e-08,3.8146972656250034e-07,1.7285346984863281e-06,0,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,,,,
attack_family,digital_3,786,2.047487797684422e-08,0.0,1.1920928955078125e-07,3.933906555175781e-06,0,1.0,1.0,1.0,1.0,,,,
attack_family,facedancer,150,9.636084238725159e-08,5.960464477539063e-08,3.3080577850341695e-07,5.364418029785156e-07,0,0.7133333333333334,0.7133333333333334,0.7133333333333334,0.7133333333333334,,,,
attack_family,textdiffuserft_bfei,149,1.5601215742853173e-08,0.0,1.1920928955078125e-07,2.384185789905402e-07,0,1.0,1.0,1.0,1.0,,,,
hardware,huawei,614,5.8197043229391986e-08,0.0,2.592802047729506e-07,1.8477439880371094e-06,0,0.7964169381107492,0.7964169381107492,0.9719222462203023,0.9719222462203023,0.2582781456953642,0.2582781456953642,0.9142648720552686,0.9142648720552686
hardware,iphone15,200,5.5134296418069e-08,0.0,1.7881393432617188e-07,4.76837158203125e-07,0,0.735,0.735,0.81,0.81,0.66,0.66,0.8511000000000001,0.8511000000000001
hardware,iphone15pro,415,6.050230508820614e-08,0.0,1.1920928966180355e-07,1.1265277862548828e-05,0,0.9614457831325302,0.9614457831325302,0.9835164835164835,0.9835164835164835,0.803921568627451,0.803921568627451,0.9861560008618832,0.9861560008618832
hardware,scan,615,6.386904212445257e-08,0.0,2.384185791015625e-07,5.364418029785156e-07,0,0.8113821138211382,0.8113821138211382,0.9504310344827587,0.9504310344827587,0.3841059602649007,0.3841059602649007,0.8936401004795614,0.8936401004795614
