eval_split,group_type,group,n,n_attack,n_bonafide,auroc,accuracy,balanced_accuracy,attack_recall,bonafide_specificity,mean_attack_score,mean_bonafide_score
dev_val,overall,all,459,306,153,0.8428382246144646,0.7864923747276689,0.7091503267973857,0.9411764705882353,0.477124183006536,0.7780085489446041,0.5409121134507111
dev_val,attack_family_vs_bonafide,digital_1,306,153,153,0.986244606775172,0.738562091503268,0.738562091503268,1.0,0.477124183006536,0.9180955695950128,0.5409121134507111
dev_val,attack_family_vs_bonafide,digital_2,306,153,153,0.6994318424537571,0.6797385620915033,0.6797385620915033,0.8823529411764706,0.477124183006536,0.6379215282941956,0.5409121134507111
dev_val,hardware,huawei,153,102,51,0.7875816993464052,0.6797385620915033,0.5343137254901961,0.9705882352941176,0.09803921568627451,0.7719688427214529,0.6293999792314043
dev_val,hardware,iphone15pro,153,102,51,0.9505959246443676,0.8954248366013072,0.8725490196078431,0.9411764705882353,0.803921568627451,0.8034573948266459,0.4331323413872251
dev_val,hardware,scan,153,102,51,0.7950788158400615,0.7843137254901961,0.7205882352941176,0.9117647058823529,0.5294117647058824,0.7585994092857137,0.5602040197335038
official_test,overall,all,1385,1085,300,0.9439477726574502,0.8469314079422383,0.6985176651305683,0.96036866359447,0.43666666666666665,0.9239608160087041,0.5465092274049917
official_test,attack_family_vs_bonafide,digital_3,1086,786,300,0.998960983884648,0.8443830570902394,0.7183333333333333,1.0,0.43666666666666665,0.978605730842998,0.5465092274049917
official_test,attack_family_vs_bonafide,facedancer,450,150,300,0.6012666666666666,0.5288888888888889,0.575,0.7133333333333334,0.43666666666666665,0.5845357455809911,0.5465092274049917
official_test,attack_family_vs_bonafide,textdiffuserft_bfei,449,149,300,0.9987248322147652,0.623608017817372,0.7183333333333333,1.0,0.43666666666666665,0.9774028126825423,0.5465092274049917
official_test,hardware,huawei,461,361,100,0.9433795013850417,0.8351409978308026,0.6561495844875347,0.9722991689750693,0.34,0.9307483863962654,0.5737004175782203
official_test,hardware,iphone15,200,100,100,0.8511000000000001,0.735,0.7350000000000001,0.81,0.66,0.8014440822601319,0.48292946502566336
official_test,hardware,iphone15pro,262,262,0,,1.0,,1.0,,0.9965877380534893,
official_test,hardware,scan,462,362,100,0.9240055248618785,0.8203463203463204,0.6356629834254144,0.9613259668508287,0.31,0.8984721610065323,0.5828977996110916
