eval_split,image_path,cache_path,file_stem,traffic_type,variant,hardware_source,label,assigned_q,cache_sha256,cache_sha256_runtime,trufor_score,native_height,native_width,map_min,map_max,map_mean,map_path,inference_status,condition,preprocessing,checkpoint_sha256,run_tag,clean_prediction,clean_correct,frozen_threshold
dev_val,train/bonafide/scan/chinese-NF-1050.jpg,data/processed/policy_c/train/bonafide/scan/chinese-NF-1050.jpg,chinese-NF-1050,bonafide,,scan,0,50,c81f6ba9cc6ea8c7fd4d5b2ceae33cdd3d53ec9b9cc62fd207f2af8d2ddc4e9c,c81f6ba9cc6ea8c7fd4d5b2ceae33cdd3d53ec9b9cc62fd207f2af8d2ddc4e9c,0.8999127745628357,1247,1993,0.0006439764401875,0.999542236328125,0.0208607148379087,output/LABPC/trufor_pretrained_policy_c_native/maps/dev_val/train/bonafide/scan/chinese-NF-1050.jpg.npz,computed,policy_c_native,native_RGB_float32_div256,ac1d90e329a72e0d66e8665e123a19e94bfae3209c3ef8a4f9ca3b91578c7844,LABPC,1,False,0.5329559743404388
official_test,test/bonafide/scan/singapore-flickr_F_33525297682_eee6031622_c.jpg,data/processed/policy_c_official_test/test/bonafide/scan/singapore-flickr_F_33525297682_eee6031622_c.jpg,singapore-flickr_F_33525297682_eee6031622_c,bonafide,,scan,0,84,365ea81726b073f54643cf3dce486415207f308fac50da13a2a78de7d1953e8e,365ea81726b073f54643cf3dce486415207f308fac50da13a2a78de7d1953e8e,0.8776493072509766,1247,1998,0.0048410799354314,0.9945064187049866,0.1630043089389801,output/LABPC/trufor_pretrained_policy_c_native/maps/official_test/test/bonafide/scan/singapore-flickr_F_33525297682_eee6031622_c.jpg.npz,computed,policy_c_native,native_RGB_float32_div256,ac1d90e329a72e0d66e8665e123a19e94bfae3209c3ef8a4f9ca3b91578c7844,LABPC,1,False,0.5329559743404388
official_test,test/bonafide/iphone15/chinese2-flickr_M_34592740762_6446ed6334_k.jpg,data/processed/policy_c_official_test/test/bonafide/iphone15/chinese2-flickr_M_34592740762_6446ed6334_k.jpg,chinese2-flickr_M_34592740762_6446ed6334_k,bonafide,,iphone15,0,77,f66263564de591860e249c2939179d53632b6aeda79b5a342b4879ccf66c5cf0,f66263564de591860e249c2939179d53632b6aeda79b5a342b4879ccf66c5cf0,0.8565047979354858,1729,2773,0.0146573185920715,0.9967790246009828,0.3176283836364746,output/LABPC/trufor_pretrained_policy_c_native/maps/official_test/test/bonafide/iphone15/chinese2-flickr_M_34592740762_6446ed6334_k.jpg.npz,computed,policy_c_native,native_RGB_float32_div256,ac1d90e329a72e0d66e8665e123a19e94bfae3209c3ef8a4f9ca3b91578c7844,LABPC,1,False,0.5329559743404388
official_test,test/bonafide/scan/singapore-flickr_F_36921282312_c8e6a2674d_c.jpg,data/processed/policy_c_official_test/test/bonafide/scan/singapore-flickr_F_36921282312_c8e6a2674d_c.jpg,singapore-flickr_F_36921282312_c8e6a2674d_c,bonafide,,scan,0,51,bedeee2acaefe509376587dc33d4ca47290185da50f772a77abd469ca3a5de50,bedeee2acaefe509376587dc33d4ca47290185da50f772a77abd469ca3a5de50,0.8413599729537964,1245,1997,0.0062697576358914,0.9975994229316713,0.1231816858053207,output/LABPC/trufor_pretrained_policy_c_native/maps/official_test/test/bonafide/scan/singapore-flickr_F_36921282312_c8e6a2674d_c.jpg.npz,computed,policy_c_native,native_RGB_float32_div256,ac1d90e329a72e0d66e8665e123a19e94bfae3209c3ef8a4f9ca3b91578c7844,LABPC,1,False,0.5329559743404388
dev_val,train/bonafide/huawei/french-019_03.jpg,data/processed/policy_c/train/bonafide/huawei/french-019_03.jpg,french-019_03,bonafide,,huawei,0,77,d2debd7c9ba1891721020d8009b9783e4f65f0ce09c5b59e71eae7b2167f6482,d2debd7c9ba1891721020d8009b9783e4f65f0ce09c5b59e71eae7b2167f6482,0.8404611349105835,1978,3225,0.4032447636127472,0.980637550354004,0.9226536750793456,output/LABPC/trufor_pretrained_policy_c_native/maps/dev_val/train/bonafide/huawei/french-019_03.jpg.npz,computed,policy_c_native,native_RGB_float32_div256,ac1d90e329a72e0d66e8665e123a19e94bfae3209c3ef8a4f9ca3b91578c7844,LABPC,1,False,0.5329559743404388
dev_val,train/bonafide/scan/arabic-NF-1048.jpg,data/processed/policy_c/train/bonafide/scan/arabic-NF-1048.jpg,arabic-NF-1048,bonafide,,scan,0,50,4e3245e68f40871a516f545d1d2c23660a844abf0dc0cd25507299f077874036,4e3245e68f40871a516f545d1d2c23660a844abf0dc0cd25507299f077874036,0.835936427116394,1248,2005,0.0005687436205334,0.9994786381721495,0.0468215756118297,output/LABPC/trufor_pretrained_policy_c_native/maps/dev_val/train/bonafide/scan/arabic-NF-1048.jpg.npz,computed,policy_c_native,native_RGB_float32_div256,ac1d90e329a72e0d66e8665e123a19e94bfae3209c3ef8a4f9ca3b91578c7844,LABPC,1,False,0.5329559743404388
dev_val,train/bonafide/huawei/arabic-024_03.jpg,data/processed/policy_c/train/bonafide/huawei/arabic-024_03.jpg,arabic-024_03,bonafide,,huawei,0,78,6a6bc925fd180ffdc52cbd2b9ff6b175552b3b1c9a79dc2a1b934b38e23727be,6a6bc925fd180ffdc52cbd2b9ff6b175552b3b1c9a79dc2a1b934b38e23727be,0.8291121125221252,1971,3211,0.2665843963623047,0.9777647852897644,0.9087907671928406,output/LABPC/trufor_pretrained_policy_c_native/maps/dev_val/train/bonafide/huawei/arabic-024_03.jpg.npz,computed,policy_c_native,native_RGB_float32_div256,ac1d90e329a72e0d66e8665e123a19e94bfae3209c3ef8a4f9ca3b91578c7844,LABPC,1,False,0.5329559743404388
official_test,test/bonafide/iphone15/chinese2-flickr_M_26097180114_4c514c928d_c.jpg,data/processed/policy_c_official_test/test/bonafide/iphone15/chinese2-flickr_M_26097180114_4c514c928d_c.jpg,chinese2-flickr_M_26097180114_4c514c928d_c,bonafide,,iphone15,0,56,afac09b472fedf2dc79571aac062a8f9779f82d2bede9dbee12d3593c1a3becd,afac09b472fedf2dc79571aac062a8f9779f82d2bede9dbee12d3593c1a3becd,0.8282512426376343,1726,2769,0.0101991137489676,0.9968665242195128,0.230596974492073,output/LABPC/trufor_pretrained_policy_c_native/maps/official_test/test/bonafide/iphone15/chinese2-flickr_M_26097180114_4c514c928d_c.jpg.npz,computed,policy_c_native,native_RGB_float32_div256,ac1d90e329a72e0d66e8665e123a19e94bfae3209c3ef8a4f9ca3b91578c7844,LABPC,1,False,0.5329559743404388
official_test,test/bonafide/huawei/chinese2-flickr_M_30516208604_4a571cf89d_c.jpg,data/processed/policy_c_official_test/test/bonafide/huawei/chinese2-flickr_M_30516208604_4a571cf89d_c.jpg,chinese2-flickr_M_30516208604_4a571cf89d_c,bonafide,,huawei,0,62,c3ed09a78f4b6db0d9ac43bc9c778e88e18fed3b6569bf11a11ab8a515b4b0c7,c3ed09a78f4b6db0d9ac43bc9c778e88e18fed3b6569bf11a11ab8a515b4b0c7,0.8278880715370178,2035,3217,0.0542335212230682,0.9903157353401184,0.8181177973747253,output/LABPC/trufor_pretrained_policy_c_native/maps/official_test/test/bonafide/huawei/chinese2-flickr_M_30516208604_4a571cf89d_c.jpg.npz,computed,policy_c_native,native_RGB_float32_div256,ac1d90e329a72e0d66e8665e123a19e94bfae3209c3ef8a4f9ca3b91578c7844,LABPC,1,False,0.5329559743404388
official_test,test/bonafide/scan/singapore-flickr_F_40795084473_21fafd815e_c.jpg,data/processed/policy_c_official_test/test/bonafide/scan/singapore-flickr_F_40795084473_21fafd815e_c.jpg,singapore-flickr_F_40795084473_21fafd815e_c,bonafide,,scan,0,84,92fa3343285269ebac79915decc93a77541245cf198ba8eb7ce9e79e62b6a091,92fa3343285269ebac79915decc93a77541245cf198ba8eb7ce9e79e62b6a091,0.8208767175674438,1248,1994,0.0040268516167998,0.9971776008605956,0.1476572453975677,output/LABPC/trufor_pretrained_policy_c_native/maps/official_test/test/bonafide/scan/singapore-flickr_F_40795084473_21fafd815e_c.jpg.npz,computed,policy_c_native,native_RGB_float32_div256,ac1d90e329a72e0d66e8665e123a19e94bfae3209c3ef8a4f9ca3b91578c7844,LABPC,1,False,0.5329559743404388
