split,file_stem,hardware_source,variant,attack_path,bonafide_path,width,height,bonafide_width,bonafide_height,same_dimensions,audit_scale,phase_dy_small,phase_dx_small,phase_abs_max_small,approx_phase_dy_native,approx_phase_dx_native,phase_peak,mean_abs_gray_diff,median_abs_gray_diff,gray_pixel_correlation
project_train,arabic-003_03,huawei,digital_1,train/attack/digital_1/huawei/arabic-003_03.jpg,train/bonafide/huawei/arabic-003_03.jpg,3023,1884,3023,1884,True,0.2540522659609659,0.0,0.0,0.0,0.0,0.0,0.7197610139846802,2.2111494541168213,0.0,0.9682625938055424
project_train,arabic-003_03,huawei,digital_2,train/attack/digital_2/huawei/arabic-003_03.jpg,train/bonafide/huawei/arabic-003_03.jpg,3023,1884,3023,1884,True,0.2540522659609659,0.0,0.0,0.0,0.0,0.0,0.6769320964813232,1.8671956062316895,0.0,0.9672061868516052
project_train,arabic-003_03,iphone15pro,digital_1,train/attack/digital_1/iphone15pro/arabic-003_03.jpg,train/bonafide/iphone15pro/arabic-003_03.jpg,2619,1605,2619,1605,True,0.293241695303551,0.0,0.0,0.0,0.0,0.0,0.7667810320854187,2.4736735820770264,0.0,0.9681346037364117
project_train,arabic-003_03,iphone15pro,digital_2,train/attack/digital_2/iphone15pro/arabic-003_03.jpg,train/bonafide/iphone15pro/arabic-003_03.jpg,2619,1605,2619,1605,True,0.293241695303551,0.0,0.0,0.0,0.0,0.0,0.7489124536514282,2.1214725971221924,0.0,0.9630671314028394
project_train,arabic-003_03,scan,digital_1,train/attack/digital_1/scan/arabic-003_03.jpg,train/bonafide/scan/arabic-003_03.jpg,2001,1244,2001,1244,True,0.383808095952024,0.0,0.0,0.0,0.0,0.0,0.707520604133606,2.7326278686523438,1.0,0.9631621225334802
project_train,arabic-003_03,scan,digital_2,train/attack/digital_2/scan/arabic-003_03.jpg,train/bonafide/scan/arabic-003_03.jpg,2001,1244,2001,1244,True,0.383808095952024,0.0,0.0,0.0,0.0,0.0,0.673275887966156,2.119436740875244,0.0,0.9649429194685744
project_train,arabic-005_03,huawei,digital_1,train/attack/digital_1/huawei/arabic-005_03.jpg,train/bonafide/huawei/arabic-005_03.jpg,3068,1882,3068,1882,True,0.2503259452411995,0.0,0.0,0.0,0.0,0.0,0.6816195845603943,2.5919973850250244,0.0,0.960844554990605
project_train,arabic-005_03,huawei,digital_2,train/attack/digital_2/huawei/arabic-005_03.jpg,train/bonafide/huawei/arabic-005_03.jpg,3068,1882,3068,1882,True,0.2503259452411995,0.0,0.0,0.0,0.0,0.0,0.6486890316009521,1.8604973554611206,0.0,0.9706018297169894
project_train,arabic-005_03,iphone15pro,digital_1,train/attack/digital_1/iphone15pro/arabic-005_03.jpg,train/bonafide/iphone15pro/arabic-005_03.jpg,2743,1703,2743,1703,True,0.2799854174261757,0.0,0.0,0.0,0.0,0.0,0.7740914225578308,2.708505392074585,0.0,0.9608967966673784
project_train,arabic-005_03,iphone15pro,digital_2,train/attack/digital_2/iphone15pro/arabic-005_03.jpg,train/bonafide/iphone15pro/arabic-005_03.jpg,2743,1703,2743,1703,True,0.2799854174261757,0.0,0.0,0.0,0.0,0.0,0.7340864539146423,2.0950303077697754,0.0,0.9629565685894728
project_train,arabic-005_03,scan,digital_1,train/attack/digital_1/scan/arabic-005_03.jpg,train/bonafide/scan/arabic-005_03.jpg,2001,1248,2001,1248,True,0.383808095952024,0.0,0.0,0.0,0.0,0.0,0.7089006900787354,2.8673043251037598,1.0,0.961066560100214
project_train,arabic-005_03,scan,digital_2,train/attack/digital_2/scan/arabic-005_03.jpg,train/bonafide/scan/arabic-005_03.jpg,2001,1248,2001,1248,True,0.383808095952024,0.0,0.0,0.0,0.0,0.0,0.6542876958847046,2.194815158843994,0.0,0.9648041991707492
dev_val,arabic-024_03,huawei,digital_1,train/attack/digital_1/huawei/arabic-024_03.jpg,train/bonafide/huawei/arabic-024_03.jpg,3211,1971,3211,1971,True,0.23917782622236064,0.0,0.0,0.0,0.0,0.0,0.7352756857872009,1.994523525238037,0.0,0.9649781547764159
dev_val,arabic-024_03,huawei,digital_2,train/attack/digital_2/huawei/arabic-024_03.jpg,train/bonafide/huawei/arabic-024_03.jpg,3211,1971,3211,1971,True,0.23917782622236064,0.0,0.0,0.0,0.0,0.0,0.6786212921142578,1.857011318206787,0.0,0.9620685794050519
dev_val,arabic-024_03,iphone15pro,digital_1,train/attack/digital_1/iphone15pro/arabic-024_03.jpg,train/bonafide/iphone15pro/arabic-024_03.jpg,2769,1748,2769,1748,True,0.27735644637053086,0.0,0.0,0.0,0.0,0.0,0.7625753879547119,2.2876744270324707,0.0,0.9591886237856306
dev_val,arabic-024_03,iphone15pro,digital_2,train/attack/digital_2/iphone15pro/arabic-024_03.jpg,train/bonafide/iphone15pro/arabic-024_03.jpg,2769,1748,2769,1748,True,0.27735644637053086,0.0,0.0,0.0,0.0,0.0,0.7485880255699158,1.9241113662719727,0.0,0.9614324447285124
dev_val,arabic-024_03,scan,digital_1,train/attack/digital_1/scan/arabic-024_03.jpg,train/bonafide/scan/arabic-024_03.jpg,2003,1244,2003,1244,True,0.38342486270594106,0.0,0.0,0.0,0.0,0.0,0.7060591578483582,2.429605722427368,0.0,0.9624425643073379
dev_val,arabic-024_03,scan,digital_2,train/attack/digital_2/scan/arabic-024_03.jpg,train/bonafide/scan/arabic-024_03.jpg,2003,1244,2003,1244,True,0.38342486270594106,0.0,0.0,0.0,0.0,0.0,0.7006275057792664,2.322307825088501,0.0,0.9542240996359067
project_train,arabic-112_03,huawei,digital_1,train/attack/digital_1/huawei/arabic-112_03.jpg,train/bonafide/huawei/arabic-112_03.jpg,3186,1977,3186,1977,True,0.24105461393596986,0.0,0.0,0.0,0.0,0.0,0.744715690612793,1.9906233549118042,0.0,0.969295345112101
project_train,arabic-112_03,huawei,digital_2,train/attack/digital_2/huawei/arabic-112_03.jpg,train/bonafide/huawei/arabic-112_03.jpg,3186,1977,3186,1977,True,0.24105461393596986,0.0,0.0,0.0,0.0,0.0,0.6939401626586914,1.8612830638885498,0.0,0.9594538634456823
project_train,arabic-112_03,iphone15pro,digital_1,train/attack/digital_1/iphone15pro/arabic-112_03.jpg,train/bonafide/iphone15pro/arabic-112_03.jpg,2776,1768,2776,1768,True,0.276657060518732,0.0,0.0,0.0,0.0,0.0,0.7814328074455261,2.3113176822662354,0.0,0.9664526439530956
project_train,arabic-112_03,iphone15pro,digital_2,train/attack/digital_2/iphone15pro/arabic-112_03.jpg,train/bonafide/iphone15pro/arabic-112_03.jpg,2776,1768,2776,1768,True,0.276657060518732,0.0,0.0,0.0,0.0,0.0,0.7605832815170288,1.8577214479446411,0.0,0.9660312472912648
project_train,arabic-112_03,scan,digital_1,train/attack/digital_1/scan/arabic-112_03.jpg,train/bonafide/scan/arabic-112_03.jpg,1999,1244,1999,1244,True,0.384192096048024,0.0,0.0,0.0,0.0,0.0,0.7350258827209473,2.436244249343872,1.0,0.9671457668225618
project_train,arabic-112_03,scan,digital_2,train/attack/digital_2/scan/arabic-112_03.jpg,train/bonafide/scan/arabic-112_03.jpg,1999,1244,1999,1244,True,0.384192096048024,0.0,0.0,0.0,0.0,0.0,0.6705767512321472,2.017629861831665,0.0,0.963492638899009
dev_val,arabic-120_03,huawei,digital_1,train/attack/digital_1/huawei/arabic-120_03.jpg,train/bonafide/huawei/arabic-120_03.jpg,3181,1964,3181,1964,True,0.24143351147437914,0.0,0.0,0.0,0.0,0.0,0.7364363670349121,2.063337802886963,0.0,0.9663793573017054
dev_val,arabic-120_03,huawei,digital_2,train/attack/digital_2/huawei/arabic-120_03.jpg,train/bonafide/huawei/arabic-120_03.jpg,3181,1964,3181,1964,True,0.24143351147437914,0.0,0.0,0.0,0.0,0.0,0.6898148059844971,1.8370637893676758,0.0,0.9627727686075375
dev_val,arabic-120_03,iphone15pro,digital_1,train/attack/digital_1/iphone15pro/arabic-120_03.jpg,train/bonafide/iphone15pro/arabic-120_03.jpg,2768,1737,2768,1737,True,0.2774566473988439,0.0,0.0,0.0,0.0,0.0,0.7882928848266602,2.326909303665161,0.0,0.964464037924653
dev_val,arabic-120_03,iphone15pro,digital_2,train/attack/digital_2/iphone15pro/arabic-120_03.jpg,train/bonafide/iphone15pro/arabic-120_03.jpg,2768,1737,2768,1737,True,0.2774566473988439,0.0,0.0,0.0,0.0,0.0,0.7501084208488464,2.051764488220215,0.0,0.9597556324890312
dev_val,arabic-120_03,scan,digital_1,train/attack/digital_1/scan/arabic-120_03.jpg,train/bonafide/scan/arabic-120_03.jpg,1992,1249,1992,1249,True,0.3855421686746988,0.0,0.0,0.0,0.0,0.0,0.7347049713134766,2.7397103309631348,1.0,0.957812313737803
dev_val,arabic-120_03,scan,digital_2,train/attack/digital_2/scan/arabic-120_03.jpg,train/bonafide/scan/arabic-120_03.jpg,1992,1249,1992,1249,True,0.3855421686746988,0.0,0.0,0.0,0.0,0.0,0.6770217418670654,2.3952038288116455,0.0,0.9515629095093697
project_train,arabic-131_03,huawei,digital_1,train/attack/digital_1/huawei/arabic-131_03.jpg,train/bonafide/huawei/arabic-131_03.jpg,3175,1963,3175,1963,True,0.24188976377952756,0.0,0.0,0.0,0.0,0.0,0.6923824548721313,2.3879549503326416,0.0,0.9580903684068532
project_train,arabic-131_03,huawei,digital_2,train/attack/digital_2/huawei/arabic-131_03.jpg,train/bonafide/huawei/arabic-131_03.jpg,3175,1963,3175,1963,True,0.24188976377952756,0.0,0.0,0.0,0.0,0.0,0.6767171621322632,2.032864570617676,0.0,0.9592389798979715
project_train,arabic-131_03,iphone15pro,digital_1,train/attack/digital_1/iphone15pro/arabic-131_03.jpg,train/bonafide/iphone15pro/arabic-131_03.jpg,2783,1762,2783,1762,True,0.27596119295724036,0.0,0.0,0.0,0.0,0.0,0.7521292567253113,2.58843994140625,0.0,0.9571602105082005
project_train,arabic-131_03,iphone15pro,digital_2,train/attack/digital_2/iphone15pro/arabic-131_03.jpg,train/bonafide/iphone15pro/arabic-131_03.jpg,2783,1762,2783,1762,True,0.27596119295724036,0.0,0.0,0.0,0.0,0.0,0.7181491851806641,2.638087749481201,0.0,0.9377429092178058
project_train,arabic-131_03,scan,digital_1,train/attack/digital_1/scan/arabic-131_03.jpg,train/bonafide/scan/arabic-131_03.jpg,1998,1247,1998,1247,True,0.3843843843843844,0.0,0.0,0.0,0.0,0.0,0.6957391500473022,2.8064815998077393,1.0,0.9579663073342026
project_train,arabic-131_03,scan,digital_2,train/attack/digital_2/scan/arabic-131_03.jpg,train/bonafide/scan/arabic-131_03.jpg,1998,1247,1998,1247,True,0.3843843843843844,0.0,0.0,0.0,0.0,0.0,0.6463090181350708,2.4588334560394287,0.0,0.953436765422342
project_train,arabic-139_03,huawei,digital_1,train/attack/digital_1/huawei/arabic-139_03.jpg,train/bonafide/huawei/arabic-139_03.jpg,3034,1879,3034,1879,True,0.25313117996044826,0.0,0.0,0.0,0.0,0.0,0.7221406698226929,2.2675371170043945,0.0,0.9615875422216801
project_train,arabic-139_03,huawei,digital_2,train/attack/digital_2/huawei/arabic-139_03.jpg,train/bonafide/huawei/arabic-139_03.jpg,3034,1879,3034,1879,True,0.25313117996044826,0.0,0.0,0.0,0.0,0.0,0.6308411359786987,1.9085040092468262,0.0,0.958269128110907
project_train,arabic-139_03,iphone15pro,digital_1,train/attack/digital_1/iphone15pro/arabic-139_03.jpg,train/bonafide/iphone15pro/arabic-139_03.jpg,2624,1605,2624,1605,True,0.2926829268292683,0.0,0.0,0.0,0.0,0.0,0.7772256731987,2.4274518489837646,0.0,0.9656011861553229
project_train,arabic-139_03,iphone15pro,digital_2,train/attack/digital_2/iphone15pro/arabic-139_03.jpg,train/bonafide/iphone15pro/arabic-139_03.jpg,2624,1605,2624,1605,True,0.2926829268292683,0.0,0.0,0.0,0.0,0.0,0.7501153945922852,1.8986036777496338,0.0,0.9671618044580744
project_train,arabic-139_03,scan,digital_1,train/attack/digital_1/scan/arabic-139_03.jpg,train/bonafide/scan/arabic-139_03.jpg,1999,1247,1999,1247,True,0.384192096048024,0.0,0.0,0.0,0.0,0.0,0.7208309173583984,2.514113664627075,1.0,0.961011172412056
project_train,arabic-139_03,scan,digital_2,train/attack/digital_2/scan/arabic-139_03.jpg,train/bonafide/scan/arabic-139_03.jpg,1999,1247,1999,1247,True,0.384192096048024,0.0,0.0,0.0,0.0,0.0,0.6717308759689331,1.845780611038208,0.0,0.9701075059193274
