source_type,image_path,cache_path,file_stem,traffic_type,variant,hardware_source,label,assigned_q,cache_sha256
original_attack,train/attack/digital_1/huawei/arabic-003_03.jpg,data/processed/policy_c/train/attack/digital_1/huawei/arabic-003_03.jpg,arabic-003_03,attack,digital_1,huawei,1,59,082daf2384545cd6478b9b7ed5d93a4c012283d1fc0b0a1aff60de908cd14a5f
original_attack,train/attack/digital_1/iphone15pro/arabic-003_03.jpg,data/processed/policy_c/train/attack/digital_1/iphone15pro/arabic-003_03.jpg,arabic-003_03,attack,digital_1,iphone15pro,1,81,1528e3602959c6409e79f88e501eb1e2ff161c6ffcfa1d30faf759ef1f27ae99
original_attack,train/attack/digital_1/scan/arabic-003_03.jpg,data/processed/policy_c/train/attack/digital_1/scan/arabic-003_03.jpg,arabic-003_03,attack,digital_1,scan,1,68,585c4f0333b626e60e2ed7471e89dd9621ec7868d1c276c8a290026202b23cc1
original_attack,train/attack/digital_2/huawei/arabic-003_03.jpg,data/processed/policy_c/train/attack/digital_2/huawei/arabic-003_03.jpg,arabic-003_03,attack,digital_2,huawei,1,59,b6f1400763dbd53a74e4919d27d974dfdd09eb7a691ff961e9ddb7840ed0b6d5
original_attack,train/attack/digital_2/iphone15pro/arabic-003_03.jpg,data/processed/policy_c/train/attack/digital_2/iphone15pro/arabic-003_03.jpg,arabic-003_03,attack,digital_2,iphone15pro,1,81,640e12b7b9ae4aa367bcd26dde11f7d6b38edc6f202776feb49a794a23425320
original_attack,train/attack/digital_2/scan/arabic-003_03.jpg,data/processed/policy_c/train/attack/digital_2/scan/arabic-003_03.jpg,arabic-003_03,attack,digital_2,scan,1,68,fc5c63eade9a92945c3db013e80a81dfb0ff3e9655db7117e21df2e9456e37d8
natural_bonafide,train/bonafide/huawei/arabic-003_03.jpg,data/processed/policy_c/train/bonafide/huawei/arabic-003_03.jpg,arabic-003_03,bonafide,,huawei,0,59,e3a2a6bea104dc6219350a0b606b893f5c03d15ff91a2c0d19c0b7978e8cce36
natural_bonafide,train/bonafide/iphone15pro/arabic-003_03.jpg,data/processed/policy_c/train/bonafide/iphone15pro/arabic-003_03.jpg,arabic-003_03,bonafide,,iphone15pro,0,81,171f80e890ffc78e7759071fb04256966a05a6c16a196926dc62073e4e026383
natural_bonafide,train/bonafide/scan/arabic-003_03.jpg,data/processed/policy_c/train/bonafide/scan/arabic-003_03.jpg,arabic-003_03,bonafide,,scan,0,68,72c0cc1520d6e9bd93316d35f089099a5ae25b2971b867ac612e366341e72126
original_attack,train/attack/digital_1/huawei/arabic-005_03.jpg,data/processed/policy_c/train/attack/digital_1/huawei/arabic-005_03.jpg,arabic-005_03,attack,digital_1,huawei,1,90,5e55a29ef3e799bf9e3282421a683bcb25f608035936e5e6467554b76ce89b9f
original_attack,train/attack/digital_1/iphone15pro/arabic-005_03.jpg,data/processed/policy_c/train/attack/digital_1/iphone15pro/arabic-005_03.jpg,arabic-005_03,attack,digital_1,iphone15pro,1,87,976fca2c25ba2ecc5dfd17c70482615c82012d0b97211f5bd27465323f66732e
original_attack,train/attack/digital_1/scan/arabic-005_03.jpg,data/processed/policy_c/train/attack/digital_1/scan/arabic-005_03.jpg,arabic-005_03,attack,digital_1,scan,1,73,94447fbc5bb7d14cda8e1fdde10657660ce96ca8fe531e9f431e9e2c7e3ffb23
original_attack,train/attack/digital_2/huawei/arabic-005_03.jpg,data/processed/policy_c/train/attack/digital_2/huawei/arabic-005_03.jpg,arabic-005_03,attack,digital_2,huawei,1,90,9a6e19be1f8502d9a210cbfa433f354321899d5eabc41c5f6978c09c0386d878
original_attack,train/attack/digital_2/iphone15pro/arabic-005_03.jpg,data/processed/policy_c/train/attack/digital_2/iphone15pro/arabic-005_03.jpg,arabic-005_03,attack,digital_2,iphone15pro,1,87,7ee2ccc3b5b85692355def1426a7731f436e995be2e642d0e4dfb3834b166337
original_attack,train/attack/digital_2/scan/arabic-005_03.jpg,data/processed/policy_c/train/attack/digital_2/scan/arabic-005_03.jpg,arabic-005_03,attack,digital_2,scan,1,73,1a1ffa7371262df421b977e587096546b58756dc6cc9d34ff7ad61bd3139f98d
natural_bonafide,train/bonafide/huawei/arabic-005_03.jpg,data/processed/policy_c/train/bonafide/huawei/arabic-005_03.jpg,arabic-005_03,bonafide,,huawei,0,90,7d021be46ea1d0521b8c36a6be860dea72cfc66324a18a3f407d738465b50262
