split,variant,mode,n_images,n_stems,mean_attack_probability,median_attack_probability,attack_recall_at_0_5,mean_bonafide_probability,median_bonafide_probability,mean_delta_vs_original,median_delta_vs_original,fraction_score_decreased,mean_delta_vs_bonafide,median_delta_vs_bonafide,mean_restored_fraction,median_restored_fraction,mean_delta_original_ci_low,mean_delta_original_ci_high,median_delta_original_ci_low,median_delta_original_ci_high,fraction_decreased_ci_low,fraction_decreased_ci_high,mean_delta_bonafide_ci_low,mean_delta_bonafide_ci_high,median_delta_bonafide_ci_low,median_delta_bonafide_ci_high
dev_val,digital_1,original,153,51,0.9997702205882353,1.0,1.0,0.04834929634543024,0.0083160400390625,0.0,0.0,0.0,0.951420924242805,0.9916839599609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9122411340280296,0.9802573956305684,0.989471435546875,0.9933586120605469
dev_val,digital_1,face_restored,153,51,0.6225016475502961,0.67724609375,0.6601307189542484,0.04834929634543024,0.0083160400390625,-0.37726857303793915,-0.32275390625,1.0,0.5741523512048659,0.6213150024414062,0.14111241226290913,0.12836601036947834,-0.45070179708642893,-0.30376200707130196,-0.44140625,-0.20654296875,1.0,1.0,0.4998200476948732,0.6486841796659956,0.5225930213928223,0.7403564453125
dev_val,digital_1,text_restored,153,51,0.9597770341860703,0.9990234375,0.9673202614379085,0.04834929634543024,0.0083160400390625,-0.03999318640216503,-0.0009765625,0.5882352941176471,0.91142773784064,0.9843597412109375,0.015897696791236194,0.015403087478559176,-0.06345515032998877,-0.020009169235728156,-0.001953125,0.0,0.48366013071895425,0.6862745098039216,0.8693285180073158,0.9443783531001969,0.9719085693359375,0.9884262084960938
dev_val,digital_1,both_restored,153,51,0.04844402955248465,0.00817108154296875,0.032679738562091505,0.04834929634543024,0.0083160400390625,-0.9513261910357507,-0.9915542602539062,1.0,9.473320705441288e-05,3.051757812505031e-05,0.15694321551661647,0.14195056106992204,-0.9802562105110268,-0.911798589915232,-0.9933204650878906,-0.9891586303710938,1.0,1.0,-0.0001419604214188055,0.0004248011735529871,7.629394531318738e-06,6.675720214845008e-05
dev_val,digital_2,original,150,50,0.9997819010416666,1.0,1.0,0.04924003918965656,0.0084381103515625,0.0,0.0,0.0,0.9505418618520101,0.9909515380859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9111007100343704,0.9796528925100962,0.989471435546875,0.9933261871337891
dev_val,digital_2,face_restored,150,50,0.13747156143188477,0.0522918701171875,0.08,0.04924003918965656,0.0084381103515625,-0.8623103396097819,-0.9477081298828125,1.0,0.0882315222422282,0.03338623046875,0.07553669045078915,0.0673302887177228,-0.9046204795837403,-0.8128751918474834,-0.9665069580078125,-0.9328521728515626,1.0,1.0,0.062413180510203066,0.1179700731039047,0.0227203369140625,0.044560909271240304
dev_val,digital_2,text_restored,150,50,0.9981380208333334,1.0,1.0,0.04924003918965656,0.0084381103515625,-0.0016438802083333333,0.0,0.17333333333333334,0.9488979816436768,0.9902420043945312,0.015445011861162842,0.015176916107686254,-0.003805501302083333,-0.0002799479166666667,0.0,0.0,0.1,0.25333333333333335,0.9090928120613098,0.9781508858203888,0.9883575439453125,0.9932141780853272
dev_val,digital_2,both_restored,150,50,0.04949398199717204,0.008514404296875,0.03333333333333333,0.04924003918965656,0.0084381103515625,-0.9502879190444946,-0.9911041259765625,1.0,0.00025394280751548715,1.7762184143104706e-05,0.09097966581285154,0.08225192990636872,-0.9795288930336635,-0.9105005544821422,-0.99334716796875,-0.9889984130859375,1.0,1.0,-8.008849620816533e-05,0.0006956567764282468,-1.6689300537068717e-05,6.103515625e-05
project_train,digital_1,original,480,160,0.9997467041015625,1.0,1.0,0.005446199824412623,0.0033626556396484,0.0,0.0,0.0,0.9943005042771499,0.9964752197265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.993570455648005,0.9949728279560804,0.9958095550537109,0.99676513671875
project_train,digital_1,face_restored,480,160,0.5180410822232564,0.532470703125,0.51875,0.005446199824412623,0.0033626556396484,-0.48170562187830607,-0.467529296875,1.0,0.5125948823988438,0.5305043458938599,0.13635544740673528,0.13021390003551409,-0.5237130704522133,-0.4408709148565928,-0.548828125,-0.39132690429687544,1.0,1.0,0.47084650956715146,0.5534964677815636,0.4466934204101563,0.6009521484375
