model,population,hardware_source,n_pairs,n_stems,mean_parent_score,mean_digital3_score,mean_delta,median_delta,fraction_score_increased,same_source_auc
controlled,matched_all_project,huawei,211,211,0.016925792558498253,0.02495652578453314,0.008030733226034889,0.0019073486328125,0.8625592417061612,0.6715707194357718
controlled,matched_all_project,iphone15pro,211,211,0.01924186860215604,0.03282162815473654,0.013579759552580497,0.002716064453125,0.7914691943127962,0.63969811998832
controlled,matched_all_project,scan,211,211,0.011280766595596348,0.01779918309071615,0.0065184164951198,0.0019435882568359002,0.7725118483412322,0.645043911861818
controlled,matched_dev_val,huawei,51,51,0.0593896753647748,0.053859504998898966,-0.005530170365875834,0.0048003196716309,0.9019607843137255,0.631680123029604
controlled,matched_dev_val,iphone15pro,51,51,0.05539338728960821,0.08144528258080576,0.026051895291197544,0.006072998046875,0.7450980392156863,0.6420607458669741
controlled,matched_dev_val,scan,51,51,0.03026482638190772,0.03790681502398321,0.00764198864207549,0.0027580261230468004,0.8235294117647058,0.6236063052672048
augmented,matched_all_project,huawei,211,211,0.03406759686944609,0.0529269539349452,0.01885935706549911,0.0007476806640625,0.8388625592417062,0.5759978437142023
augmented,matched_all_project,iphone15pro,211,211,0.0312512293811093,0.0568410864373519,0.025589857056242594,0.00091552734375,0.8199052132701422,0.6312638979358056
augmented,matched_all_project,scan,211,211,0.03281124169227636,0.05054137605061463,0.01773013435833827,0.000396728515625,0.6872037914691943,0.5973023966218189
augmented,matched_dev_val,huawei,51,51,0.04312762092141544,0.048611809225643385,0.0054841883042279415,0.0007476806640625,0.803921568627451,0.5549788542868127
augmented,matched_dev_val,iphone15pro,51,51,0.03404774385340074,0.044209498985140934,0.010161755131740197,0.00103759765625,0.8627450980392157,0.657439446366782
augmented,matched_dev_val,scan,51,51,0.034411262063419115,0.04133217007506127,0.006920908011642157,0.000335693359375,0.6666666666666666,0.540561322568243
