model,population,feature,n,n_stems,spearman_r
controlled,bonafide,pad_total_r512,300,100,0.0764024597837869
controlled,bonafide,aspect_ratio,300,100,-0.0756448343409568
controlled,bonafide,log_native_area,300,100,-0.04030900220919013
controlled,digital_3,pad_total_r512,786,262,0.15388829203643126
controlled,digital_3,aspect_ratio,786,262,-0.1537978451327175
controlled,digital_3,log_native_area,786,262,-0.016791639168042296
controlled,facedancer,pad_total_r512,150,89,0.15989695642390303
controlled,facedancer,aspect_ratio,150,89,-0.1564406596219018
controlled,facedancer,log_native_area,150,89,0.07108332260017693
controlled,textdiffuserft_bfei,pad_total_r512,149,88,0.04457248271002987
controlled,textdiffuserft_bfei,aspect_ratio,149,88,-0.04913359550267685
controlled,textdiffuserft_bfei,log_native_area,149,88,-0.032212714964870034
augmented,bonafide,pad_total_r512,300,100,0.010033546474193748
augmented,bonafide,aspect_ratio,300,100,-0.0059917705948105806
augmented,bonafide,log_native_area,300,100,0.04802371819195426
augmented,digital_3,pad_total_r512,786,262,-0.00041258616719718654
augmented,digital_3,aspect_ratio,786,262,0.001856711350884486
augmented,digital_3,log_native_area,786,262,-0.02911792726146423
augmented,facedancer,pad_total_r512,150,89,0.047997221407991626
augmented,facedancer,aspect_ratio,150,89,-0.041349636221267326
augmented,facedancer,log_native_area,150,89,0.0727965937156403
augmented,textdiffuserft_bfei,pad_total_r512,149,88,0.03363892269133408
augmented,textdiffuserft_bfei,aspect_ratio,149,88,-0.03247486500356908
augmented,textdiffuserft_bfei,log_native_area,149,88,0.06201373916806675
