family,scope,shared_hardware,feature_set,n_attack,n_bonafide,n_stems,auroc,auc_ci_low,auc_ci_high
digital_3,all_hardware,huawei|scan,padding_only,786,300,362,0.6028053435114503,0.578655368332923,0.6268174194991056
digital_3,all_hardware,huawei|scan,aspect_ratio_only,786,300,362,0.6028986429177269,0.5788269976524899,0.6264885966508673
digital_3,all_hardware,huawei|scan,native_size_only,786,300,362,0.6304855810008481,0.6094172450314527,0.6521167489377736
digital_3,all_hardware,huawei|scan,all_geometry,786,300,362,0.6014821882951653,0.5774241197774291,0.6250643995586588
digital_3,shared_hardware,huawei|scan,padding_only,524,200,362,0.749236641221374,0.719915071952833,0.7769187859484626
digital_3,shared_hardware,huawei|scan,aspect_ratio_only,524,200,362,0.747337786259542,0.7185881334788135,0.7754835004641314
digital_3,shared_hardware,huawei|scan,native_size_only,524,200,362,0.7606870229007634,0.7354584293459432,0.7858050836811998
digital_3,shared_hardware,huawei|scan,all_geometry,524,200,362,0.7673282442748092,0.7405885568938229,0.793959095481254
facedancer,all_hardware,huawei|iphone15|scan,padding_only,150,300,100,0.4670222222222222,0.4333548657718121,0.5008558116883116
facedancer,all_hardware,huawei|iphone15|scan,aspect_ratio_only,150,300,100,0.47059999999999996,0.43680397824597467,0.5044961719024219
facedancer,all_hardware,huawei|iphone15|scan,native_size_only,150,300,100,0.46462222222222216,0.43262231813610463,0.49735680171278
facedancer,all_hardware,huawei|iphone15|scan,all_geometry,150,300,100,0.44699999999999995,0.41360941800226647,0.4805126198843255
facedancer,shared_hardware,huawei|iphone15|scan,padding_only,150,300,100,0.4670222222222222,0.4333548657718121,0.5008558116883116
facedancer,shared_hardware,huawei|iphone15|scan,aspect_ratio_only,150,300,100,0.47059999999999996,0.43680397824597467,0.5044961719024219
facedancer,shared_hardware,huawei|iphone15|scan,native_size_only,150,300,100,0.46462222222222216,0.43262231813610463,0.49735680171278
facedancer,shared_hardware,huawei|iphone15|scan,all_geometry,150,300,100,0.44699999999999995,0.41360941800226647,0.4805126198843255
textdiffuserft_bfei,all_hardware,huawei|iphone15|scan,padding_only,149,300,100,0.472102908277405,0.4391875595238096,0.5049578118481434
textdiffuserft_bfei,all_hardware,huawei|iphone15|scan,aspect_ratio_only,149,300,100,0.4760514541387024,0.4437321972292,0.5091531871898289
textdiffuserft_bfei,all_hardware,huawei|iphone15|scan,native_size_only,149,300,100,0.48077181208053693,0.44960963469344156,0.514510342820634
textdiffuserft_bfei,all_hardware,huawei|iphone15|scan,all_geometry,149,300,100,0.4763422818791947,0.44453273341373045,0.5075212033542976
textdiffuserft_bfei,shared_hardware,huawei|iphone15|scan,padding_only,149,300,100,0.472102908277405,0.4391875595238096,0.5049578118481434
textdiffuserft_bfei,shared_hardware,huawei|iphone15|scan,aspect_ratio_only,149,300,100,0.4760514541387024,0.4437321972292,0.5091531871898289
textdiffuserft_bfei,shared_hardware,huawei|iphone15|scan,native_size_only,149,300,100,0.48077181208053693,0.44960963469344156,0.514510342820634
textdiffuserft_bfei,shared_hardware,huawei|iphone15|scan,all_geometry,149,300,100,0.4763422818791947,0.44453273341373045,0.5075212033542976
