split,image_path,cache_path,file_stem,traffic_type,variant,hardware_source,label,assigned_q,source_sha256,cache_sha256
project_train,train/attack/digital_1/huawei/arabic-003_03.jpg,data/processed/policy_c/train/attack/digital_1/huawei/arabic-003_03.jpg,arabic-003_03,attack,digital_1,huawei,1,59,656ff1b4dd0cdaef972c7edf4101876841753d9c3a5dc28b65ba54a1483a35bf,082daf2384545cd6478b9b7ed5d93a4c012283d1fc0b0a1aff60de908cd14a5f
project_train,train/attack/digital_1/iphone15pro/arabic-003_03.jpg,data/processed/policy_c/train/attack/digital_1/iphone15pro/arabic-003_03.jpg,arabic-003_03,attack,digital_1,iphone15pro,1,81,275d7d5d9f1e0611a23a373909e5e7a3c6b776be5176a7b16017aadd470f5ca7,1528e3602959c6409e79f88e501eb1e2ff161c6ffcfa1d30faf759ef1f27ae99
project_train,train/attack/digital_1/scan/arabic-003_03.jpg,data/processed/policy_c/train/attack/digital_1/scan/arabic-003_03.jpg,arabic-003_03,attack,digital_1,scan,1,68,2a928839fa410bfe3ec4bc31a71db8ad716a97f9d0d37cac40998ff8df23e06f,585c4f0333b626e60e2ed7471e89dd9621ec7868d1c276c8a290026202b23cc1
project_train,train/attack/digital_2/huawei/arabic-003_03.jpg,data/processed/policy_c/train/attack/digital_2/huawei/arabic-003_03.jpg,arabic-003_03,attack,digital_2,huawei,1,59,d049fe38f3ec2b3febe1e962cd4be127698f8b76461549f90472170028ed9a6f,b6f1400763dbd53a74e4919d27d974dfdd09eb7a691ff961e9ddb7840ed0b6d5
project_train,train/attack/digital_2/iphone15pro/arabic-003_03.jpg,data/processed/policy_c/train/attack/digital_2/iphone15pro/arabic-003_03.jpg,arabic-003_03,attack,digital_2,iphone15pro,1,81,0671853c41ca3b36425269793a038b2a417579255fb814e80ff4a6d1678672cc,640e12b7b9ae4aa367bcd26dde11f7d6b38edc6f202776feb49a794a23425320
project_train,train/attack/digital_2/scan/arabic-003_03.jpg,data/processed/policy_c/train/attack/digital_2/scan/arabic-003_03.jpg,arabic-003_03,attack,digital_2,scan,1,68,54152be11fb28ffb15928101c8ec272560425e5eafdec9d715c4290d21c3f953,fc5c63eade9a92945c3db013e80a81dfb0ff3e9655db7117e21df2e9456e37d8
project_train,train/bonafide/huawei/arabic-003_03.jpg,data/processed/policy_c/train/bonafide/huawei/arabic-003_03.jpg,arabic-003_03,bonafide,,huawei,0,59,0a2f985ead79169ead378f14d1af08f4d22f35641bb9e2ad37e9d5d3730be007,e3a2a6bea104dc6219350a0b606b893f5c03d15ff91a2c0d19c0b7978e8cce36
project_train,train/bonafide/iphone15pro/arabic-003_03.jpg,data/processed/policy_c/train/bonafide/iphone15pro/arabic-003_03.jpg,arabic-003_03,bonafide,,iphone15pro,0,81,a5e1940620b27684a6516d7be97120090e0bd66db136a3b14c140aa3664477df,171f80e890ffc78e7759071fb04256966a05a6c16a196926dc62073e4e026383
project_train,train/bonafide/scan/arabic-003_03.jpg,data/processed/policy_c/train/bonafide/scan/arabic-003_03.jpg,arabic-003_03,bonafide,,scan,0,68,be5d55392dfd152ed28550856184a8849f8b20ffb6024734dd782f2f8f227c5a,72c0cc1520d6e9bd93316d35f089099a5ae25b2971b867ac612e366341e72126
project_train,train/attack/digital_1/huawei/arabic-005_03.jpg,data/processed/policy_c/train/attack/digital_1/huawei/arabic-005_03.jpg,arabic-005_03,attack,digital_1,huawei,1,90,725eca7ff982a1c1f4032ddb0c44596ff489109d725e39d7f1bb7e4e103c344c,5e55a29ef3e799bf9e3282421a683bcb25f608035936e5e6467554b76ce89b9f
project_train,train/attack/digital_1/iphone15pro/arabic-005_03.jpg,data/processed/policy_c/train/attack/digital_1/iphone15pro/arabic-005_03.jpg,arabic-005_03,attack,digital_1,iphone15pro,1,87,d3188f576c20431853d7d6702a20e9177d9a025c908a493268867c3895e6a21e,976fca2c25ba2ecc5dfd17c70482615c82012d0b97211f5bd27465323f66732e
project_train,train/attack/digital_1/scan/arabic-005_03.jpg,data/processed/policy_c/train/attack/digital_1/scan/arabic-005_03.jpg,arabic-005_03,attack,digital_1,scan,1,73,b63e47a8930d3c234c88b6c93c86f4fe6f391bb9b9c67294e83b58fe9d90f383,94447fbc5bb7d14cda8e1fdde10657660ce96ca8fe531e9f431e9e2c7e3ffb23
project_train,train/attack/digital_2/huawei/arabic-005_03.jpg,data/processed/policy_c/train/attack/digital_2/huawei/arabic-005_03.jpg,arabic-005_03,attack,digital_2,huawei,1,90,510d0438f0a7f84da3a8c338f879ac6791acb770e7a412f69c9894445030a96a,9a6e19be1f8502d9a210cbfa433f354321899d5eabc41c5f6978c09c0386d878
project_train,train/attack/digital_2/iphone15pro/arabic-005_03.jpg,data/processed/policy_c/train/attack/digital_2/iphone15pro/arabic-005_03.jpg,arabic-005_03,attack,digital_2,iphone15pro,1,87,d52070b65eaf51e45d58a18212320d55b5ae62962e6abd88115222caebd94c59,7ee2ccc3b5b85692355def1426a7731f436e995be2e642d0e4dfb3834b166337
project_train,train/attack/digital_2/scan/arabic-005_03.jpg,data/processed/policy_c/train/attack/digital_2/scan/arabic-005_03.jpg,arabic-005_03,attack,digital_2,scan,1,73,fb91274f4b1423942ba2c1847374d096968f5e958cdb6b627347630f5ec2b430,1a1ffa7371262df421b977e587096546b58756dc6cc9d34ff7ad61bd3139f98d
project_train,train/bonafide/huawei/arabic-005_03.jpg,data/processed/policy_c/train/bonafide/huawei/arabic-005_03.jpg,arabic-005_03,bonafide,,huawei,0,90,e94b0ff71e2a8eaf68e5d0932e4d96804385ba4f70cd24f3132cf8e898d01d19,7d021be46ea1d0521b8c36a6be860dea72cfc66324a18a3f407d738465b50262
project_train,train/bonafide/iphone15pro/arabic-005_03.jpg,data/processed/policy_c/train/bonafide/iphone15pro/arabic-005_03.jpg,arabic-005_03,bonafide,,iphone15pro,0,87,0f1c951169aaab77ce868e4cb066958426a2e2aa5a02fb896c45662da887078c,d7a6ffb46293c43b92ad8d974bef59485234fc4a2296093dccf2cb5320b561a3
project_train,train/bonafide/scan/arabic-005_03.jpg,data/processed/policy_c/train/bonafide/scan/arabic-005_03.jpg,arabic-005_03,bonafide,,scan,0,73,7839393aeadbc2c9cbdebc4c72b5d61d6d7f48b2ba3b193e48207b330da5ff53,975cb3dba3e02bb2e54c73e30335ccb9933dd4876b5fc38e9112a5773fb185a6
project_train,train/attack/digital_1/huawei/arabic-112_03.jpg,data/processed/policy_c/train/attack/digital_1/huawei/arabic-112_03.jpg,arabic-112_03,attack,digital_1,huawei,1,67,29b0053486f492d98eff55215576e7ccb15ebcbcd43d56744ec451e55c2bc61d,3ba5a19af9b9f3ef1c7d417ab37f790c832ed586fcebaef16c649f20cfa7a597
