evaluation_split,variant,selection_scope,evidence_role,file_stem,hardware_source,image_path,label,epsilon_pixel,epsilon_255,alpha_pixel,alpha_255,pgd_steps,pixel_linf,padding_max_abs_error,saved_clean_probability_attack,clean_probability_attack,saved_probability_abs_error,adv_probability_attack,clean_margin,adv_margin,clean_correct,adv_correct,attack_success,A,E_clean,E_adv,delta_E,relative_E_change,mu_w_clean,mu_w_adv,delta_mu_w,relative_mu_w_change,PG_clean,PG_adv,delta_PG,cam_cosine,cam_tv,clean_zero_cam,adv_zero_cam,clean_content_cam_mass,adv_content_cam_mass
dev_val,digital_1,all_attacks,heldout_primary,persian-NM-1035,iphone15pro,train/attack/digital_1/iphone15pro/persian-NM-1035.jpg,1,0.01568627450980392,4.0,0.00392156862745098,1.0,10,0.015686292201280594,0.0,1.0,0.9998928308486938,0.00010716915130615234,3.336004974867357e-13,9.14093017578125,-28.728832244873047,True,False,True,0.21982373297214508,0.8451984524726868,0.9999999403953552,0.15480148792266846,0.1831540124923158,3.8448917865753174,4.549098968505859,0.704207181930542,0.18315396661859923,1.0,1.0,0.0,0.3724285960197449,0.8086757659912109,False,False,36402.05859375,2981.5107421875
dev_val,digital_1,all_attacks,heldout_primary,portugal-NF-1109,iphone15pro,train/attack/digital_1/iphone15pro/portugal-NF-1109.jpg,1,0.01568627450980392,4.0,0.00392156862745098,1.0,10,0.015686292201280594,0.0,1.0,0.9999991655349731,8.344650268554688e-07,2.876711294915184e-16,13.990161895751953,-35.78471374511719,True,False,True,0.18605215847492218,0.7916972041130066,0.0,-0.7916972041130066,-1.0,4.255243301391602,0.0,-4.255243301391602,-1.0,1.0,0.0,-1.0,,,False,True,33065.7890625,0.0
dev_val,digital_1,all_attacks,heldout_primary,arabic-120_03,huawei,train/attack/digital_1/huawei/arabic-120_03.jpg,1,0.01568627450980392,4.0,0.00392156862745098,1.0,10,0.015686292201280594,0.0,1.0,0.9999998807907104,1.1920928955078125e-07,1.451341827209303e-14,16.291847229003906,-31.86370277404785,True,False,True,0.14223414659500122,0.7339920401573181,0.0,-0.7339920401573181,-1.0,5.1604485511779785,0.0,-5.1604485511779785,-1.0,1.0,0.0,-1.0,,,False,True,40049.2890625,0.0
dev_val,digital_1,all_attacks,heldout_primary,chinese-001_03,iphone15pro,train/attack/digital_1/iphone15pro/chinese-001_03.jpg,1,0.01568627450980392,4.0,0.00392156862745098,1.0,10,0.015686292201280594,0.0,1.0,0.9999179840087891,8.20159912109375e-05,1.1519241506843803e-15,9.409313201904297,-34.397342681884766,True,False,True,0.1416015625,0.6885372400283813,0.0,-0.6885372400283813,-1.0,4.862497329711914,0.0,-4.862497329711914,-1.0,1.0,0.0,-1.0,,,False,True,42564.78125,0.0
dev_val,digital_1,all_attacks,heldout_primary,chinese-NM-1092,scan,train/attack/digital_1/scan/chinese-NM-1092.jpg,1,0.01568627450980392,4.0,0.00392156862745098,1.0,10,0.015686292201280594,0.0,1.0,0.9999853372573853,1.4662742614746094e-05,4.513485126009936e-13,11.128219604492188,-28.426536560058594,True,False,True,0.2235330194234848,0.6106332540512085,0.0,-0.6106332540512085,-1.0,2.731736183166504,0.0,-2.731736183166504,-1.0,1.0,0.0,-1.0,,,False,True,40009.3359375,0.0
dev_val,digital_1,all_attacks,heldout_primary,persian-NF-1097,huawei,train/attack/digital_1/huawei/persian-NF-1097.jpg,1,0.01568627450980392,4.0,0.00392156862745098,1.0,10,0.015686292201280594,0.0,0.99951171875,0.9993624091148376,0.00014930963516235352,1.6417234935330212e-15,7.357115745544434,-34.04302978515625,True,False,True,0.16073372960090637,0.9275352358818054,0.0,-0.9275352358818054,-1.0,5.770631790161133,0.0,-5.770631790161133,-1.0,1.0,0.0,-1.0,,,False,True,26526.13671875,0.0
dev_val,digital_1,all_attacks,heldout_primary,arabic-NF-1048,huawei,train/attack/digital_1/huawei/arabic-NF-1048.jpg,1,0.01568627450980392,4.0,0.00392156862745098,1.0,10,0.015686292201280594,0.0,1.0,0.9999996423721313,3.5762786865234375e-07,4.791762791406511e-15,14.80477237701416,-32.97187805175781,True,False,True,0.1932384967803955,0.7824844121932983,0.0,-0.7824844121932983,-1.0,4.049319744110107,0.0,-4.049319744110107,-1.0,1.0,0.0,-1.0,0.0,1.0,False,False,37287.12109375,1406.929443359375
dev_val,digital_1,all_attacks,heldout_primary,indian-014_03,huawei,train/attack/digital_1/huawei/indian-014_03.jpg,1,0.01568627450980392,4.0,0.00392156862745098,1.0,10,0.015686292201280594,0.0,0.99951171875,0.9995213747024536,9.655952453613281e-06,6.533191062556428e-16,7.644143104553223,-34.9644660949707,True,False,True,0.11545508354902267,0.5120790004730225,0.0,-0.5120790004730225,-1.0,4.435309410095215,0.0,-4.435309410095215,-1.0,1.0,0.0,-1.0,,,False,True,35114.2265625,0.0
dev_val,digital_1,all_attacks,heldout_primary,persian-NM-1035,scan,train/attack/digital_1/scan/persian-NM-1035.jpg,1,0.01568627450980392,4.0,0.00392156862745098,1.0,10,0.015686292201280594,0.0,0.99951171875,0.9995788931846619,6.717443466186523e-05,1.803538221545331e-11,7.772061347961426,-24.738685607910156,True,False,True,0.22207435965538025,0.937383770942688,0.0,-0.937383770942688,-1.0,4.221035480499268,0.0,-4.221035480499268,-1.0,1.0,0.0,-1.0,,,False,True,26017.0,0.0
dev_val,digital_1,all_attacks,heldout_primary,usa-034_03,huawei,train/attack/digital_1/huawei/usa-034_03.jpg,1,0.01568627450980392,4.0,0.00392156862745098,1.0,10,0.015686292201280594,0.0,1.0,0.9999996423721313,3.5762786865234375e-07,2.1781994869126168e-17,14.7531099319458,-38.365447998046875,True,False,True,0.1514929234981537,0.7160604000091553,0.0,-0.7160604000091553,-1.0,4.726691722869873,0.0,-4.726691722869873,-1.0,1.0,0.0,-1.0,0.036193229258060455,0.9854272603988647,False,False,37979.5,1713.613037109375
dev_val,digital_1,all_attacks,heldout_primary,chinese-142_03,iphone15pro,train/attack/digital_1/iphone15pro/chinese-142_03.jpg,1,0.01568627450980392,4.0,0.00392156862745098,1.0,10,0.015686292201280594,0.0,1.0,0.9999995231628418,4.76837158203125e-07,1.2646428549994544e-17,14.474899291992188,-38.909156799316406,True,False,True,0.1391281634569168,0.6911889910697937,0.0,-0.6911889910697937,-1.0,4.968001842498779,0.0,-4.968001842498779,-1.0,1.0,0.0,-1.0,,,False,True,36890.8984375,0.0
dev_val,digital_1,all_attacks,heldout_primary,russian-NF-1099,iphone15pro,train/attack/digital_1/iphone15pro/russian-NF-1099.jpg,1,0.01568627450980392,4.0,0.00392156862745098,1.0,10,0.015686292201280594,0.0,1.0,0.9999998807907104,1.1920928955078125e-07,8.850109598462025e-18,16.288005828857422,-39.2661018371582,True,False,True,0.2423422485589981,0.9303931593894958,0.0,-0.9303931593894958,-1.0,3.839170217514038,0.0,-3.839170217514038,-1.0,1.0,0.0,-1.0,,,False,True,35368.51953125,0.0
