group_type,group,n_images,n_stems,mean_attack_probability,attack_recall_at_0_5,mean_union_area_content,mean_union_energy_content,mean_union_enrichment_content,mean_energy_gain_union_content,energy_gain_ci_low,energy_gain_ci_high,pointing_union,mean_union_area_canvas,mean_point_gain_union_canvas,point_gain_ci_low,point_gain_ci_high,mean_face_area_content,mean_face_energy_content,mean_face_enrichment_content,pointing_face,mean_text_area_content,mean_text_energy_content,mean_text_enrichment_content,pointing_text,mean_face_share_altered_energy,mean_text_share_altered_energy,mean_padding_area_canvas,mean_padding_energy_canvas,mean_padding_enrichment_canvas,pointing_padding,zero_cam_fraction,mean_face_text_overlap_canvas,mean_visual_contour_area_content
split,dev_val,306,51,0.9997668517570869,1.0,0.12577823241836716,0.6263003903471567,5.467917780602179,0.5005221579287895,0.47841235711417107,0.5220793040809382,0.761437908496732,0.11936484165787264,0.6420730668388595,0.5935942995897421,0.688329692130457,0.1094453954999294,0.59880291280988,6.32036117960748,0.6993464052287581,0.01637213249025526,0.027543348514118257,1.6266843718910349,0.06209150326797386,0.9558912284151239,0.0441087715848761,0.051190692326313236,0.003785387685957575,0.07555586781316716,0.0,0.0,3.718845032225853e-05,0.03518137250415691
split,project_train,960,160,0.999650485565265,1.0,0.12179072805386908,0.6182202435253809,5.50439187050348,0.4964295154715118,0.485614209711579,0.5079746018828182,0.7854166666666667,0.11554574142267675,0.66987092524399,0.6410847786915156,0.6977627638239918,0.10527695455018281,0.5886333333095536,6.3481510940245505,0.7489583333333333,0.016534091653242964,0.029613038869502527,1.7456080630115882,0.036458333333333336,0.9528604202575786,0.04713957974242148,0.051391300154320994,0.0027404190532642017,0.05519314973134115,0.0,0.0,1.9280704451195987e-05,0.03441351552568736
split_variant,dev_val|digital_1,153,51,0.9997553934458814,1.0,0.1589752484393536,0.7066456609302096,4.774537444322275,0.5476704124908561,0.5234933299189346,0.5719027074115475,1.0,0.15087673433812182,0.8491232656618782,0.8346042091002104,0.8623554751475363,0.1424171409456948,0.6578061513456643,5.053088240953875,0.8758169934640523,0.01663300409789998,0.04891552850512751,2.8958242897765625,0.12418300653594772,0.9237968580073843,0.07620314199261544,0.051190692326313236,0.0029946975091119017,0.06006302249696488,0.0,0.0,7.087524680010893e-05,0.039656464889930326
split_variant,dev_val|digital_2,153,51,0.9997783100682925,1.0,0.09258121639738075,0.5459551197641036,6.161298116882083,0.4533739033667229,0.427093273728871,0.4799042713440058,0.5228758169934641,0.08785294897762345,0.4350228680158406,0.3295697387902161,0.535057946239537,0.07647365005416401,0.5397996742740955,7.587634118261086,0.5228758169934641,0.016111260882610546,0.006171168523108999,0.3575444540055076,0.0,0.9879855988228632,0.012014401177136768,0.051190692326313236,0.0045760778628032486,0.09104871312936942,0.0,0.0,3.501653844408134e-06,0.03070628011838351
split_variant,project_train|digital_1,480,160,0.999732692912221,1.0,0.1543771328596997,0.698117804651459,4.803050806842763,0.5437406717917594,0.530913672925769,0.5568752334886297,0.9916666666666667,0.1464617081630377,0.845204958503629,0.8341899857697663,0.8546106336146225,0.1376475315563961,0.6464042929311593,5.068745097946009,0.9208333333333333,0.016770237602416947,0.05176576969694603,3.0528708148026973,0.07083333333333333,0.9211420870407293,0.07885791295927073,0.051391300154320994,0.0025060402445507596,0.04892810181952125,0.0,0.0,3.856140890239197e-05,0.03911880046248616
split_variant,project_train|digital_2,480,160,0.9995682782183091,1.0,0.08920432324803847,0.5383226823993027,6.205732934164198,0.44911835915126425,0.43431399927550496,0.4638708706141973,0.5791666666666667,0.08462977468231576,0.49453689198435086,0.43704138744024584,0.5505590812070871,0.0729063775439695,0.5308623736879478,7.6275570901030925,0.5770833333333333,0.016297945704068978,0.0074603080420590235,0.438345311220479,0.0020833333333333333,0.9845787534744278,0.01542124652557223,0.051391300154320994,0.002974797861977644,0.061458197643161044,0.0,0.0,0.0,0.02970823058888855
split_variant_hardware,dev_val|digital_1|huawei,51,51,0.9994605721211901,1.0,0.1597105157318011,0.7168091734250387,4.833703663983671,0.5570986576932375,0.5288617246134543,0.5839343277456759,1.0,0.15324580262515886,0.8467541973748413,0.8322385988810309,0.8601667948537922,0.14233018040808879,0.6637310131507761,5.135679019328178,0.8823529411764706,0.01745207551968784,0.05316394249059479,3.0014616208321714,0.11764705882352941,0.9175401090962131,0.08245989090378693,0.04048656499636892,0.0018189075963275672,0.045434903842768035,0.0,0.0,6.9102257511801e-05,0.03811286281574531
split_variant_hardware,dev_val|digital_1|iphone15pro,51,51,0.9999302824338278,1.0,0.15644516113447332,0.7002546682077295,4.8050084495115515,0.5438095070732563,0.5181548516893499,0.5687772195933785,1.0,0.1470809858955156,0.8529190141044845,0.8385127735899769,0.866457282172309,0.14088391374104742,0.6562431367004619,5.082296641397044,0.8431372549019608,0.015637729274406056,0.04408741050043746,2.733989757544482,0.1568627450980392,0.9305444274720909,0.06945557252790908,0.060457516339869274,0.0031901444164233518,0.05991635447445792,0.0,0.0,7.131849412218591e-05,0.040963200409280066
split_variant_hardware,dev_val|digital_1|scan,51,51,0.9998753257826263,1.0,0.16077006845178637,0.7028731411578608,4.6849002194716025,0.5421030727060744,0.5161598785070793,0.5679087802685329,1.0,0.152303414493691,0.847696585506309,0.8330935642350474,0.8611128597217966,0.14403732868794825,0.6534443041857552,4.941289062136403,0.9019607843137255,0.016809207499606047,0.049495232524350286,2.952021490953034,0.09803921568627451,0.9233060374538499,0.07669396254615028,0.05262799564270152,0.003975040514584786,0.07483780917366867,0.0,0.0,7.220498876633987e-05,0.03989333144476561
split_variant_hardware,dev_val|digital_2|huawei,51,51,0.9997778932253519,1.0,0.09256105685858142,0.54778624866523,6.15783177984498,0.4552251918066485,0.42730717069016766,0.4831849309186698,0.5882352941176471,0.08881364322349308,0.49942165089415397,0.3667192779075606,0.6318122027140212,0.07565286897703555,0.5406653168154698,7.643617602493343,0.5882352941176471,0.016913337000016796,0.0071426242076196396,0.4015167566396654,0.0,0.9861394176055137,0.01386058239448626,0.04050925925925926,0.003595488743795049,0.08902343070111411,0.0,0.0,4.964370007262164e-06,0.030253636889777346
