evaluation_split,variant,file_stem,hardware_source,image_path,saved_clean_probability_attack,clean_probability_attack,saved_probability_abs_error,adv_probability_attack,clean_margin,adv_margin,classification_preserved,epsilon_255,alpha_255,steps,pixel_linf,padding_max_abs_error,accepted_steps,boundary_pullbacks,objective_E_initial,objective_E_final,A,E_clean,E_adv,absolute_E_degradation,relative_E_degradation,E_strictly_improved,mu_w_clean,mu_w_adv,absolute_mu_w_degradation,relative_mu_w_degradation,PG_clean,PG_adv,absolute_PG_degradation,cam_cosine,cam_tv,clean_zero_cam,adv_zero_cam,cam_change_defined,exact_bundle_path,exact_bundle_sha256,exact_bundle_bytes,exact_input_dtype,exact_cam_dtype,exact_cam_height,exact_cam_width,exact_archive_schema
dev_val,digital_1,arabic-024_03,huawei,train/attack/digital_1/huawei/arabic-024_03.jpg,1.0,0.9999886751174927,1.1324882507324219e-05,0.9972816705703735,11.391756057739258,5.905041694641113,True,1.0,0.25,10,0.0039215851575136185,0.0,10,0,0.5305448770523071,0.044145241379737854,0.11472618579864502,0.5305448770523071,0.044145241379737854,0.4863996356725693,0.9167926347248745,True,4.624444484710693,0.38478782773017883,4.2396566569805145,0.916792637688189,1.0,0.0,1.0,0.21462155878543854,0.8094508647918701,False,False,True,output/resnet18_localisation_attack_preserve_cls_full_archive_v2/exact_archive/dev_val/digital_1/huawei/arabic-024_03__c059abb99123__exact.npz,3013a4cee02c78f3f5c83971d762acc435f46d80ee1cbbd2b14ae130055f5053,4665068,float32,float32,512,864,resnet_exact_archive_v1
dev_val,digital_1,arabic-024_03,iphone15pro,train/attack/digital_1/iphone15pro/arabic-024_03.jpg,1.0,0.9997957348823547,0.00020426511764526367,0.8652201890945435,8.496027946472168,1.8593411445617676,True,1.0,0.25,10,0.0039215851575136185,0.0,10,0,0.5389240980148315,0.020948559045791626,0.10770123451948166,0.5389240384101868,0.020948559045791626,0.5179754793643951,0.9611289206775979,True,5.003879547119141,0.1945062130689621,4.8093733340501785,0.9611289178251814,1.0,0.0,1.0,0.09340520203113556,0.8830406665802002,False,False,True,output/resnet18_localisation_attack_preserve_cls_full_archive_v2/exact_archive/dev_val/digital_1/iphone15pro/arabic-024_03__8a15bc3597b8__exact.npz,cbfe7cbe10c3c3d51bac55cfa368fb6b1d767d512795b61d23282dde00e4684e,4757427,float32,float32,512,864,resnet_exact_archive_v1
dev_val,digital_1,arabic-024_03,scan,train/attack/digital_1/scan/arabic-024_03.jpg,1.0,0.9999992847442627,7.152557373046875e-07,0.9985437393188477,14.128520011901855,6.530393600463867,True,1.0,0.25,10,0.003921577241271734,0.0,4,0,0.6589217782020569,0.21986250579357147,0.11709031462669373,0.6589217782020569,0.21986249089241028,0.4390592873096466,0.6663299071821087,True,5.627466201782227,1.877717137336731,3.7497490644454956,0.6663299129647273,1.0,1.0,0.0,0.3180190324783325,0.7640806436538696,False,False,True,output/resnet18_localisation_attack_preserve_cls_full_archive_v2/exact_archive/dev_val/digital_1/scan/arabic-024_03__79b9e6078a93__exact.npz,a2832eb34d50cc311421481ba3971fa574244b7a4eb4abea299ea7984c9d5113,4495182,float32,float32,512,864,resnet_exact_archive_v1
dev_val,digital_1,arabic-120_03,huawei,train/attack/digital_1/huawei/arabic-120_03.jpg,1.0,0.9999998807907104,1.1920928955078125e-07,0.9999712705612183,16.28217315673828,10.456815719604492,True,1.0,0.25,10,0.0029412410221993923,0.0,3,0,0.7339490652084351,0.18870751559734344,0.14223414659500122,0.7339490652084351,0.18870751559734344,0.5452415496110916,0.7428874501750987,True,5.160146713256836,1.3267384767532349,3.833408236503601,0.7428874505942368,1.0,1.0,0.0,0.33622458577156067,0.7119044065475464,False,False,True,output/resnet18_localisation_attack_preserve_cls_full_archive_v2/exact_archive/dev_val/digital_1/huawei/arabic-120_03__0276e20a0ead__exact.npz,e6f3e1a796e5ec9865762978e592663cdda811044d87897807e2416fd73715bd,4611310,float32,float32,512,864,resnet_exact_archive_v1
dev_val,digital_1,arabic-120_03,iphone15pro,train/attack/digital_1/iphone15pro/arabic-120_03.jpg,1.0,0.9999998807907104,1.1920928955078125e-07,0.9854981899261475,16.367679595947266,4.218874454498291,True,1.0,0.25,10,0.0039215851575136185,0.0,10,0,0.6574225425720215,0.06063614413142204,0.13355688750743866,0.6574224829673767,0.06063615158200264,0.5967863313853741,0.9077668422468423,True,4.922415256500244,0.45400992035865784,4.468405336141586,0.907766838695878,1.0,0.0,1.0,0.1847725808620453,0.7784208059310913,False,False,True,output/resnet18_localisation_attack_preserve_cls_full_archive_v2/exact_archive/dev_val/digital_1/iphone15pro/arabic-120_03__e1549485f43a__exact.npz,007e353a84f562e4a79513cd350bda94ae35c4ce88b0e7318fe3a2bbd04b7cfd,4941400,float32,float32,512,864,resnet_exact_archive_v1
dev_val,digital_1,arabic-120_03,scan,train/attack/digital_1/scan/arabic-120_03.jpg,1.0,0.9999862909317017,1.3709068298339844e-05,0.9882627129554749,11.197652816772461,4.433173179626465,True,1.0,0.25,10,0.0029412410221993923,0.0,3,0,0.7997737526893616,0.15074802935123444,0.15913067758083344,0.7997736930847168,0.15074807405471802,0.6490256190299988,0.8115115871425019,True,5.025892734527588,0.9473224878311157,4.078570246696472,0.8115115984622859,1.0,1.0,0.0,0.24866385757923126,0.8309834003448486,False,False,True,output/resnet18_localisation_attack_preserve_cls_full_archive_v2/exact_archive/dev_val/digital_1/scan/arabic-120_03__5f783b197c8a__exact.npz,1135ceb82b6337ef3cae59231ce2905be6f04fff1793c1ecc95d3543b3bf410a,4383414,float32,float32,512,864,resnet_exact_archive_v1
dev_val,digital_1,arabic-NF-1048,huawei,train/attack/digital_1/huawei/arabic-NF-1048.jpg,1.0,0.9999996423721313,3.5762786865234375e-07,0.9832339286804199,14.801379203796387,4.071492671966553,True,1.0,0.25,10,0.0039215851575136185,0.0,7,0,0.7823598980903625,0.1183338463306427,0.1932384967803955,0.7823599576950073,0.1183338388800621,0.6640261188149452,0.848747577485052,True,4.048675537109375,0.6123719811439514,3.4363035559654236,0.8487475779347916,1.0,1.0,0.0,0.2630350589752197,0.7787683010101318,False,False,True,output/resnet18_localisation_attack_preserve_cls_full_archive_v2/exact_archive/dev_val/digital_1/huawei/arabic-NF-1048__109430720360__exact.npz,ffc4a4aab35366b54f8a5a2c605bc53d8a1da3a62d047694726a884226a752f2,4580608,float32,float32,512,864,resnet_exact_archive_v1
dev_val,digital_1,arabic-NF-1048,iphone15pro,train/attack/digital_1/iphone15pro/arabic-NF-1048.jpg,1.0,0.9999996423721313,3.5762786865234375e-07,0.9987781643867493,14.777191162109375,6.706183433532715,True,1.0,0.25,10,0.0039215851575136185,0.0,5,0,0.8640734553337097,0.17088939249515533,0.20606283843517303,0.8640733361244202,0.17088940739631653,0.6931839287281036,0.8022281208643733,True,4.193251609802246,0.8293072581291199,3.363944351673126,0.8022281190590826,1.0,1.0,0.0,0.17083166539669037,0.8486372232437134,False,False,True,output/resnet18_localisation_attack_preserve_cls_full_archive_v2/exact_archive/dev_val/digital_1/iphone15pro/arabic-NF-1048__b270f8c9b09e__exact.npz,823738e102ceed76bc5136fc4d5e293164e27f18f5640b32134aec665b92354e,5009011,float32,float32,512,864,resnet_exact_archive_v1
dev_val,digital_1,arabic-NF-1048,scan,train/attack/digital_1/scan/arabic-NF-1048.jpg,1.0,1.0,0.0,0.9721918702125549,16.681827545166016,3.554224729537964,True,1.0,0.25,10,0.0039215851575136185,0.0,6,0,0.8567985892295837,0.2060025930404663,0.2055954784154892,0.8567985892295837,0.2060026079416275,0.6507959812879562,0.7595670551618661,True,4.167399883270264,1.0019803047180176,3.165419578552246,0.7595670363335187,1.0,1.0,0.0,0.22390618920326233,0.8630766868591309,False,False,True,output/resnet18_localisation_attack_preserve_cls_full_archive_v2/exact_archive/dev_val/digital_1/scan/arabic-NF-1048__f425baf8e50a__exact.npz,d05b247179ed6962c4180b0946cfa2967563293c414dc9936d25176a511b3f4e,4256805,float32,float32,512,864,resnet_exact_archive_v1
dev_val,digital_1,arabic-NF-1098,huawei,train/attack/digital_1/huawei/arabic-NF-1098.jpg,1.0,0.9999996423721313,3.5762786865234375e-07,0.9973047971725464,14.955587387084961,5.913570404052734,True,1.0,0.25,10,0.0039215851575136185,0.0,5,0,0.8332381248474121,0.17311906814575195,0.20522086322307587,0.8332382440567017,0.17311908304691315,0.6601191610097885,0.7922333926920276,True,4.060202598571777,0.8435744643211365,3.216628134250641,0.792233406131538,1.0,1.0,0.0,0.2511153817176819,0.810807466506958,False,False,True,output/resnet18_localisation_attack_preserve_cls_full_archive_v2/exact_archive/dev_val/digital_1/huawei/arabic-NF-1098__795dc6e7fad7__exact.npz,ce37e745a3baf47180c96fad081f5dd262a45b5d3b67892b1dc1d1e24aca0957,4531190,float32,float32,512,864,resnet_exact_archive_v1
dev_val,digital_1,arabic-NF-1098,iphone15pro,train/attack/digital_1/iphone15pro/arabic-NF-1098.jpg,1.0,0.9999998807907104,1.1920928955078125e-07,0.9959179759025574,16.25337028503418,5.497075080871582,True,1.0,0.25,10,0.0039215851575136185,0.0,8,0,0.7910969257354736,0.16361881792545319,0.2187102884054184,0.7910969257354736,0.16361881792545319,0.6274781078100204,0.7931747519138206,True,3.6170997619628906,0.7481075525283813,2.8689922094345093,0.793174752768664,1.0,1.0,0.0,0.35108375549316406,0.7652068138122559,False,False,True,output/resnet18_localisation_attack_preserve_cls_full_archive_v2/exact_archive/dev_val/digital_1/iphone15pro/arabic-NF-1098__aff0336f2532__exact.npz,455c9af0041e0dbb220e6492f96e526730cd9dc5d1230cdbb75b67e11c70d1f0,5012119,float32,float32,512,864,resnet_exact_archive_v1
dev_val,digital_1,arabic-NF-1098,scan,train/attack/digital_1/scan/arabic-NF-1098.jpg,1.0,0.9999997615814209,2.384185791015625e-07,0.9999842643737793,15.21890926361084,11.05662727355957,True,1.0,0.25,10,0.0039215851575136185,0.0,6,0,0.7755129933357239,0.21407370269298553,0.20528985559940338,0.7755130529403687,0.21407368779182434,0.5614393651485443,0.7239586271563567,True,3.777649164199829,1.0427874326705933,2.734861731529236,0.7239586347634075,1.0,1.0,0.0,0.3140016794204712,0.711599588394165,False,False,True,output/resnet18_localisation_attack_preserve_cls_full_archive_v2/exact_archive/dev_val/digital_1/scan/arabic-NF-1098__74f92af0e67a__exact.npz,5181ba972be146ab8f734d778aa7a82926cea72f37bea00eeec03004d7356a3c,4925083,float32,float32,512,864,resnet_exact_archive_v1
dev_val,digital_1,arabic-NM-1090,huawei,train/attack/digital_1/huawei/arabic-NM-1090.jpg,1.0,0.9999957084655762,4.291534423828125e-06,0.9999701976776123,12.359123229980469,10.41904067993164,True,1.0,0.25,10,0.0019608272705227137,0.0,2,0,0.8321663737297058,0.20357152819633484,0.22399607300758362,0.8321664333343506,0.20357154309749603,0.6285948902368546,0.7553716000273897,True,3.7150938510894775,0.9088174700737,2.8062763810157776,0.7553715985378989,1.0,1.0,0.0,0.2725873291492462,0.7653307914733887,False,False,True,output/resnet18_localisation_attack_preserve_cls_full_archive_v2/exact_archive/dev_val/digital_1/huawei/arabic-NM-1090__9e1bef3fc392__exact.npz,60b24f29ccfdb05a344c666b480bc9aa28787c5820042b25beef34c789763549,4841063,float32,float32,512,864,resnet_exact_archive_v1
dev_val,digital_1,arabic-NM-1090,iphone15pro,train/attack/digital_1/iphone15pro/arabic-NM-1090.jpg,1.0,0.9999910593032837,8.940696716308594e-06,0.9406031966209412,11.626869201660156,2.762281894683838,True,1.0,0.25,10,0.0039215851575136185,0.0,10,0,0.8141950368881226,0.010736827738583088,0.19044309854507446,0.8141950368881226,0.010736827738583088,0.8034582091495395,0.9868129535895729,True,4.275266647338867,0.056378141045570374,4.218888506293297,0.9868129532737653,1.0,0.0,1.0,0.021946605294942856,0.941961944103241,False,False,True,output/resnet18_localisation_attack_preserve_cls_full_archive_v2/exact_archive/dev_val/digital_1/iphone15pro/arabic-NM-1090__319cd7c8bef4__exact.npz,60b8c7a09db16011eb20f8a1c808d6c5b9421a6216f0b95d6e8c5eb567229c0a,4725898,float32,float32,512,864,resnet_exact_archive_v1
dev_val,digital_1,arabic-NM-1090,scan,train/attack/digital_1/scan/arabic-NM-1090.jpg,1.0,0.9999877214431763,1.2278556823730469e-05,0.9984758496284485,11.308552742004395,6.484758377075195,True,1.0,0.25,10,0.0039215851575136185,0.0,5,0,0.8084657788276672,0.11621361970901489,0.2252189815044403,0.808465838432312,0.1162136048078537,0.6922522336244583,0.8562541553602285,True,3.5896878242492676,0.5160027146339417,3.073685109615326,0.8562541535929085,1.0,1.0,0.0,0.26873648166656494,0.7655500769615173,False,False,True,output/resnet18_localisation_attack_preserve_cls_full_archive_v2/exact_archive/dev_val/digital_1/scan/arabic-NM-1090__2155706f18a3__exact.npz,24ae6bb9b5700e284cc7a95e9021ede11a27fc0b42d2dded0ee46498ca48c3f7,4610232,float32,float32,512,864,resnet_exact_archive_v1
dev_val,digital_1,chinese-001_03,huawei,train/attack/digital_1/huawei/chinese-001_03.jpg,1.0,0.9999833106994629,1.6689300537109375e-05,0.9823213815689087,11.002176284790039,4.017563343048096,True,1.0,0.25,10,0.0019608272705227137,0.0,2,0,0.6503745317459106,0.19619227945804596,0.13946671783924103,0.6503745317459106,0.19619227945804596,0.4541822522878647,0.6983395414771643,True,4.663295269012451,1.4067318439483643,3.256563425064087,0.698339529710657,1.0,1.0,0.0,0.46202176809310913,0.7018227577209473,False,False,True,output/resnet18_localisation_attack_preserve_cls_full_archive_v2/exact_archive/dev_val/digital_1/huawei/chinese-001_03__b72bb8d023e3__exact.npz,58d0012ec14b5b8c2305fad424c94eb796f0f17042e7dd4464d6f1853e35a00d,3553524,float32,float32,512,864,resnet_exact_archive_v1
dev_val,digital_1,chinese-001_03,iphone15pro,train/attack/digital_1/iphone15pro/chinese-001_03.jpg,1.0,0.99991774559021,8.225440979003906e-05,0.9976497292518616,9.405238151550293,6.050851821899414,True,1.0,0.25,10,0.0039215851575136185,0.0,5,0,0.6884941458702087,0.17230702936649323,0.1416015625,0.6884942650794983,0.17230702936649323,0.5161872357130051,0.7497335299567129,True,4.862194061279297,1.216844081878662,3.6453499794006348,0.7497335428116382,1.0,1.0,0.0,0.3001987934112549,0.7678616046905518,False,False,True,output/resnet18_localisation_attack_preserve_cls_full_archive_v2/exact_archive/dev_val/digital_1/iphone15pro/chinese-001_03__0e6185f6d1e0__exact.npz,2efe7324e144bf0fb3d3faadc624165d81d8ece373636c1c7830d88b96e37aed,4437106,float32,float32,512,864,resnet_exact_archive_v1
dev_val,digital_1,chinese-001_03,scan,train/attack/digital_1/scan/chinese-001_03.jpg,0.99951171875,0.9996157884597778,0.00010406970977783203,0.9880148768424988,7.864067077636719,4.412034034729004,True,1.0,0.25,10,0.0039215851575136185,0.0,5,0,0.7440134286880493,0.17321684956550598,0.1407732218503952,0.7440134286880493,0.1732168346643448,0.5707965940237045,0.7671858759729842,True,5.285191535949707,1.2304672002792358,4.054724335670471,0.7671858830640977,1.0,1.0,0.0,0.18931743502616882,0.8577145934104919,False,False,True,output/resnet18_localisation_attack_preserve_cls_full_archive_v2/exact_archive/dev_val/digital_1/scan/chinese-001_03__f3a61eaf41b1__exact.npz,16bca07bddfd818a4a7cb93d206298f2d3e60305befc63fe8c24d32614b3d20d,4313906,float32,float32,512,864,resnet_exact_archive_v1
dev_val,digital_1,chinese-113_03,huawei,train/attack/digital_1/huawei/chinese-113_03.jpg,1.0,0.9999998807907104,1.1920928955078125e-07,0.9972237348556519,15.626230239868164,5.883875370025635,True,1.0,0.25,10,0.003921577241271734,0.0,4,0,0.6599735021591187,0.1898719072341919,0.13277935981750488,0.6599735021591187,0.1898719072341919,0.47010159492492676,0.7123037415698941,True,4.970452785491943,1.4299806356430054,3.540472149848938,0.712303748298964,1.0,1.0,0.0,0.292538046836853,0.8003663420677185,False,False,True,output/resnet18_localisation_attack_preserve_cls_full_archive_v2/exact_archive/dev_val/digital_1/huawei/chinese-113_03__80b1dbcdfcfd__exact.npz,a4dc9e1cf9bff0be0801964ca722f749454ffd81e3757389727fbd6fee99fa5b,3657962,float32,float32,512,864,resnet_exact_archive_v1
