split,variant,pair_id,file_stem,hardware_source,field_name,assigned_q,attack_image_path,parent_image_path,crop_x0,crop_y0,crop_x1,crop_y1,annotation_x0,annotation_y0,annotation_x1,annotation_y1,face_overlap_pixels,role,label,patch_path
project_train,digital_1,234cad47be97e4855879,arabic-003_03,huawei,dob,59,train/attack/digital_1/huawei/arabic-003_03.jpg,train/bonafide/huawei/arabic-003_03.jpg,1324,964,1836,1476,1470,1162,1689,1278,0,attack,1,data/processed/text_patch512/project_train/digital_1/attack/234cad47be97e4855879.png
project_train,digital_1,234cad47be97e4855879,arabic-003_03,huawei,dob,59,train/attack/digital_1/huawei/arabic-003_03.jpg,train/bonafide/huawei/arabic-003_03.jpg,1324,964,1836,1476,1470,1162,1689,1278,0,bonafide,0,data/processed/text_patch512/project_train/digital_1/bonafide/234cad47be97e4855879.png
project_train,digital_1,458d0952ce7adc780d09,arabic-003_03,huawei,doe,59,train/attack/digital_1/huawei/arabic-003_03.jpg,train/bonafide/huawei/arabic-003_03.jpg,1346,1372,1858,1884,1491,1655,1714,1771,0,attack,1,data/processed/text_patch512/project_train/digital_1/attack/458d0952ce7adc780d09.png
project_train,digital_1,458d0952ce7adc780d09,arabic-003_03,huawei,doe,59,train/attack/digital_1/huawei/arabic-003_03.jpg,train/bonafide/huawei/arabic-003_03.jpg,1346,1372,1858,1884,1491,1655,1714,1771,0,bonafide,0,data/processed/text_patch512/project_train/digital_1/bonafide/458d0952ce7adc780d09.png
project_train,digital_1,3a8f4392f33b1c084e85,arabic-003_03,huawei,name,59,train/attack/digital_1/huawei/arabic-003_03.jpg,train/bonafide/huawei/arabic-003_03.jpg,1248,496,1760,1008,1172,696,1836,809,0,attack,1,data/processed/text_patch512/project_train/digital_1/attack/3a8f4392f33b1c084e85.png
project_train,digital_1,3a8f4392f33b1c084e85,arabic-003_03,huawei,name,59,train/attack/digital_1/huawei/arabic-003_03.jpg,train/bonafide/huawei/arabic-003_03.jpg,1248,496,1760,1008,1172,696,1836,809,0,bonafide,0,data/processed/text_patch512/project_train/digital_1/bonafide/3a8f4392f33b1c084e85.png
project_train,digital_1,f70665337fc44cea7fa4,arabic-003_03,iphone15pro,dob,81,train/attack/digital_1/iphone15pro/arabic-003_03.jpg,train/bonafide/iphone15pro/arabic-003_03.jpg,1100,778,1612,1290,1260,980,1452,1087,0,attack,1,data/processed/text_patch512/project_train/digital_1/attack/f70665337fc44cea7fa4.png
project_train,digital_1,f70665337fc44cea7fa4,arabic-003_03,iphone15pro,dob,81,train/attack/digital_1/iphone15pro/arabic-003_03.jpg,train/bonafide/iphone15pro/arabic-003_03.jpg,1100,778,1612,1290,1260,980,1452,1087,0,bonafide,0,data/processed/text_patch512/project_train/digital_1/bonafide/f70665337fc44cea7fa4.png
project_train,digital_1,511cf0f5c55adcb71c5c,arabic-003_03,iphone15pro,doe,81,train/attack/digital_1/iphone15pro/arabic-003_03.jpg,train/bonafide/iphone15pro/arabic-003_03.jpg,1099,1093,1611,1605,1258,1403,1452,1513,0,attack,1,data/processed/text_patch512/project_train/digital_1/attack/511cf0f5c55adcb71c5c.png
project_train,digital_1,511cf0f5c55adcb71c5c,arabic-003_03,iphone15pro,doe,81,train/attack/digital_1/iphone15pro/arabic-003_03.jpg,train/bonafide/iphone15pro/arabic-003_03.jpg,1099,1093,1611,1605,1258,1403,1452,1513,0,bonafide,0,data/processed/text_patch512/project_train/digital_1/bonafide/511cf0f5c55adcb71c5c.png
project_train,digital_1,09e7323b33b648fec843,arabic-003_03,iphone15pro,name,81,train/attack/digital_1/iphone15pro/arabic-003_03.jpg,train/bonafide/iphone15pro/arabic-003_03.jpg,1053,383,1565,895,1024,584,1594,694,0,attack,1,data/processed/text_patch512/project_train/digital_1/attack/09e7323b33b648fec843.png
