population,feature,target,spearman_r,p_value,n
dev_digital_1,gray_mad_inside,probability_delta,-0.18323258169109574,0.00011295189065945787,439
dev_digital_1,gray_mad_inside,attack_axis_projection,-0.22682523112360536,1.5732978895815765e-06,439
dev_digital_1,lap_mad_inside,probability_delta,-0.24692525466856916,1.6034199533938474e-07,439
dev_digital_1,lap_mad_inside,attack_axis_projection,-0.24894884502024014,1.2597125181761165e-07,439
dev_digital_1,changed_inside_ge5,probability_delta,-0.14757444321834123,0.001933879350804939,439
dev_digital_1,changed_inside_ge5,attack_axis_projection,-0.04844007523041441,0.31123542560663753,439
dev_digital_1,feature_shift_norm,probability_delta,0.6069327153016733,1.578132239698845e-45,439
dev_digital_1,feature_shift_norm,attack_axis_projection,0.993077496971777,0.0,439
dev_digital_1,attack_axis_cosine,probability_delta,0.3526873881259627,2.6449651999416217e-14,439
dev_digital_1,attack_axis_cosine,attack_axis_projection,-0.04180266483602209,0.3822555672225349,439
dev_digital_1,cos_to_train_global,probability_delta,0.33413395666024615,6.547768814142043e-13,439
dev_digital_1,cos_to_train_global,attack_axis_projection,0.07919093263587287,0.09749786275391349,439
dev_digital_1,cos_to_train_same_field,probability_delta,0.42869426327496335,6.438600547676766e-21,436
dev_digital_1,cos_to_train_same_field,attack_axis_projection,0.25311205767633066,8.440596055666996e-08,436
dev_digital_2,gray_mad_inside,probability_delta,0.01702062566653588,0.730819636775366,411
dev_digital_2,gray_mad_inside,attack_axis_projection,0.06762014066175669,0.17122958961599816,411
dev_digital_2,lap_mad_inside,probability_delta,-0.17648037943068112,0.0003241780275412354,411
dev_digital_2,lap_mad_inside,attack_axis_projection,-0.07938021021482981,0.10807169868249845,411
dev_digital_2,changed_inside_ge5,probability_delta,-0.08688015404000685,0.07852714367635164,411
dev_digital_2,changed_inside_ge5,attack_axis_projection,-0.0025095453987634625,0.9595474585906678,411
dev_digital_2,feature_shift_norm,probability_delta,0.586260675376933,2.6482267652355363e-39,411
dev_digital_2,feature_shift_norm,attack_axis_projection,0.9959742529180658,0.0,411
dev_digital_2,attack_axis_cosine,probability_delta,0.33468250854289416,3.2537514140757152e-12,411
dev_digital_2,attack_axis_cosine,attack_axis_projection,0.042227737917659804,0.3931813321210074,411
dev_digital_2,cos_to_train_global,probability_delta,0.23508541165774496,1.4420351479519137e-06,411
dev_digital_2,cos_to_train_global,attack_axis_projection,0.1772270724620647,0.0003054570519508729,411
dev_digital_2,cos_to_train_same_field,probability_delta,0.37330129182566973,6.1433660961713584e-15,408
dev_digital_2,cos_to_train_same_field,attack_axis_projection,0.42720551572845544,1.572725655089865e-19,408
dev_digital_3,gray_mad_inside,probability_delta,0.09825580581883103,0.03915932758599303,441
dev_digital_3,gray_mad_inside,attack_axis_projection,0.0827060894287785,0.0827635278833008,441
dev_digital_3,lap_mad_inside,probability_delta,-0.4849837837232795,2.1339873865167164e-27,441
dev_digital_3,lap_mad_inside,attack_axis_projection,-0.529762954132702,2.8342311966824763e-33,441
dev_digital_3,changed_inside_ge5,probability_delta,-0.06844975752538777,0.15127320656911028,441
dev_digital_3,changed_inside_ge5,attack_axis_projection,-0.08124536527897873,0.08835709403184851,441
dev_digital_3,feature_shift_norm,probability_delta,0.5648424404726926,1.5691704708435484e-38,441
dev_digital_3,feature_shift_norm,attack_axis_projection,0.6005308417073123,1.4512061417405913e-44,441
dev_digital_3,attack_axis_cosine,probability_delta,0.94115926090716,6.031760048611545e-209,441
dev_digital_3,attack_axis_cosine,attack_axis_projection,0.9827277764252554,0.0,441
dev_digital_3,cos_to_train_global,probability_delta,0.9414931007367983,1.7959372915776777e-209,441
dev_digital_3,cos_to_train_global,attack_axis_projection,0.9807609757189588,0.0,441
dev_digital_3,cos_to_train_same_field,probability_delta,0.9302494712607104,5.892241215315978e-192,438
dev_digital_3,cos_to_train_same_field,attack_axis_projection,0.976099463181187,3.728996120171259e-291,438
