bonafide_image_path,file_stem,hardware_source,annotation_source_image_path,annotation_source_variant,target_width,target_height,source_width,source_height,same_file_stem,same_hardware_source,same_dimensions,annotation_provenance
test/bonafide/huawei/chinese2-flickr_F_16745558933_a3f9fe2bc9_k.jpg,chinese2-flickr_F_16745558933_a3f9fe2bc9_k,huawei,test/attack/facedancer/huawei/chinese2-flickr_F_16745558933_a3f9fe2bc9_k.jpg,facedancer,3230,2022,3230,2022,True,True,True,original_only
test/bonafide/huawei/chinese2-flickr_F_16858102101_d4c5c1e7a2_c.jpg,chinese2-flickr_F_16858102101_d4c5c1e7a2_c,huawei,test/attack/facedancer/huawei/chinese2-flickr_F_16858102101_d4c5c1e7a2_c.jpg,facedancer,3253,2073,3253,2073,True,True,True,original_only
test/bonafide/huawei/chinese2-flickr_F_17178039488_60828ef8de_k.jpg,chinese2-flickr_F_17178039488_60828ef8de_k,huawei,test/attack/textdiffuserft_bfei/huawei/chinese2-flickr_F_17178039488_60828ef8de_k.jpg,textdiffuserft_bfei,3228,2042,3228,2042,True,True,True,original_only
test/bonafide/huawei/chinese2-flickr_F_17619703551_9705002b22_b.jpg,chinese2-flickr_F_17619703551_9705002b22_b,huawei,test/attack/textdiffuserft_bfei/huawei/chinese2-flickr_F_17619703551_9705002b22_b.jpg,textdiffuserft_bfei,3210,2054,3210,2054,True,True,True,original_only
test/bonafide/huawei/chinese2-flickr_F_17773666675_1bdbd28a62_c.jpg,chinese2-flickr_F_17773666675_1bdbd28a62_c,huawei,test/attack/textdiffuserft_bfei/huawei/chinese2-flickr_F_17773666675_1bdbd28a62_c.jpg,textdiffuserft_bfei,3218,2035,3218,2035,True,True,True,original_only
test/bonafide/huawei/chinese2-flickr_F_21668538829_2fb67bd5fd_c.jpg,chinese2-flickr_F_21668538829_2fb67bd5fd_c,huawei,test/attack/textdiffuserft_bfei/huawei/chinese2-flickr_F_21668538829_2fb67bd5fd_c.jpg,textdiffuserft_bfei,3210,2052,3210,2052,True,True,True,original_only
test/bonafide/huawei/chinese2-flickr_F_21696826019_7407a3bea0_k.jpg,chinese2-flickr_F_21696826019_7407a3bea0_k,huawei,test/attack/facedancer/huawei/chinese2-flickr_F_21696826019_7407a3bea0_k.jpg,facedancer,3229,2037,3229,2037,True,True,True,original_only
test/bonafide/huawei/chinese2-flickr_F_25164779518_a723fab6b8_o.jpg,chinese2-flickr_F_25164779518_a723fab6b8_o,huawei,test/attack/textdiffuserft_bfei/huawei/chinese2-flickr_F_25164779518_a723fab6b8_o.jpg,textdiffuserft_bfei,3210,2058,3210,2058,True,True,True,original_only
test/bonafide/huawei/chinese2-flickr_F_25164805428_423bc49285_o.jpg,chinese2-flickr_F_25164805428_423bc49285_o,huawei,test/attack/textdiffuserft_bfei/huawei/chinese2-flickr_F_25164805428_423bc49285_o.jpg,textdiffuserft_bfei,3250,2064,3250,2064,True,True,True,original_only
test/bonafide/huawei/chinese2-flickr_F_31196390972_be24a6067c_k.jpg,chinese2-flickr_F_31196390972_be24a6067c_k,huawei,test/attack/facedancer/huawei/chinese2-flickr_F_31196390972_be24a6067c_k.jpg,facedancer,3238,2041,3238,2041,True,True,True,original_only
test/bonafide/huawei/chinese2-flickr_F_31226153591_900ef17f37_k.jpg,chinese2-flickr_F_31226153591_900ef17f37_k,huawei,test/attack/facedancer/huawei/chinese2-flickr_F_31226153591_900ef17f37_k.jpg,facedancer,3213,2049,3213,2049,True,True,True,original_only
test/bonafide/huawei/chinese2-flickr_F_31998401683_5272a75c42_c.jpg,chinese2-flickr_F_31998401683_5272a75c42_c,huawei,test/attack/textdiffuserft_bfei/huawei/chinese2-flickr_F_31998401683_5272a75c42_c.jpg,textdiffuserft_bfei,3211,2056,3211,2056,True,True,True,original_only
test/bonafide/huawei/chinese2-flickr_F_31998955273_5516f4db28_h.jpg,chinese2-flickr_F_31998955273_5516f4db28_h,huawei,test/attack/facedancer/huawei/chinese2-flickr_F_31998955273_5516f4db28_h.jpg,facedancer,3229,2050,3229,2050,True,True,True,original_only
test/bonafide/huawei/chinese2-flickr_F_32689517821_bfacb0e1ba_h.jpg,chinese2-flickr_F_32689517821_bfacb0e1ba_h,huawei,test/attack/textdiffuserft_bfei/huawei/chinese2-flickr_F_32689517821_bfacb0e1ba_h.jpg,textdiffuserft_bfei,3230,2065,3230,2065,True,True,True,original_only
test/bonafide/huawei/chinese2-flickr_F_33552328531_f6d5dd17b8_c.jpg,chinese2-flickr_F_33552328531_f6d5dd17b8_c,huawei,test/attack/textdiffuserft_bfei/huawei/chinese2-flickr_F_33552328531_f6d5dd17b8_c.jpg,textdiffuserft_bfei,3221,2050,3221,2050,True,True,True,original_only
test/bonafide/huawei/chinese2-flickr_F_39035705701_833f3da9bf_o.jpg,chinese2-flickr_F_39035705701_833f3da9bf_o,huawei,test/attack/facedancer/huawei/chinese2-flickr_F_39035705701_833f3da9bf_o.jpg,facedancer,3218,2052,3218,2052,True,True,True,original_only
