evaluation_population,detector,group,n,n_attack,n_bonafide,auroc,balanced_accuracy,attack_recall,bonafide_specificity,mean_attack_probability,median_attack_probability,mean_bonafide_probability,median_bonafide_probability
common_1384,text_patch_max,all,1384,1085,299,0.3460937379590956,0.40968974924094137,0.3511520737327189,0.4682274247491639,0.3679415962113763,0.08197021484375,0.5612976718507084,0.56494140625
common_1384,text_patch_max,digital_3,1085,786,299,0.26523100751444595,0.36388470474099416,0.2595419847328244,0.4682274247491639,0.27689311340564987,0.01859283447265625,0.5612976718507084,0.56494140625
common_1384,text_patch_max,facedancer,449,150,299,0.4814492753623188,0.4907803790412486,0.5133333333333333,0.4682274247491639,0.5380793190002442,0.519775390625,0.5612976718507084,0.56494140625
common_1384,text_patch_max,textdiffuserft_bfei,448,149,299,0.6363942447980966,0.5696841821732397,0.6711409395973155,0.4682274247491639,0.6769580329024552,0.9853515625,0.5612976718507084,0.56494140625
common_1384,text_patch_mean,all,1384,1085,299,0.2975756361450611,0.4250219626096204,0.14101382488479264,0.7090301003344481,0.1972438892507023,0.03446276858448982,0.3550554073403432,0.2711661756038666
common_1384,text_patch_mean,digital_3,1085,786,299,0.21121507654863114,0.3793242104725676,0.04961832061068702,0.7090301003344481,0.12209584686735687,0.008605321403592825,0.3550554073403432,0.2711661756038666
common_1384,text_patch_mean,facedancer,449,150,299,0.493221850613155,0.5078483835005574,0.30666666666666664,0.7090301003344481,0.36179614600880694,0.29353898763656616,0.3550554073403432,0.2711661756038666
common_1384,text_patch_mean,textdiffuserft_bfei,448,149,299,0.5561828017328455,0.5827029696303113,0.4563758389261745,0.7090301003344481,0.42800578723455335,0.4378255307674408,0.3550554073403432,0.2711661756038666
common_1384,controlled,all,1384,1085,299,0.23419385663424935,0.4333692955011328,0.16774193548387098,0.6989966555183946,0.18906193526659143,0.0156021118164062,0.34259160784973347,0.1787109375
common_1384,controlled,digital_3,1085,786,299,0.05884117541933672,0.3533151216523271,0.007633587786259542,0.6989966555183946,0.02741124672440776,0.00825119018554685,0.34259160784973347,0.1787109375
common_1384,controlled,facedancer,449,150,299,0.9585284280936455,0.8294983277591973,0.96,0.6989966555183946,0.9545660400390625,1.0,0.34259160784973347,0.1787109375
common_1384,controlled,textdiffuserft_bfei,448,149,299,0.43001279432560435,0.4568808780947678,0.21476510067114093,0.6989966555183946,0.2711547237114618,0.1253662109375,0.34259160784973347,0.1787109375
common_1384,controlled+text_max,all,1384,1085,299,0.38380161213260794,0.38150979455327283,0.42857142857142855,0.33444816053511706,0.44621492421022757,0.2093505859375,0.6655916450015678,0.8251953125
common_1384,controlled+text_max,digital_3,1085,786,299,0.23128196618073815,0.3001757342115789,0.26590330788804073,0.33444816053511706,0.2899736939495756,0.042144775390625,0.6655916450015678,0.8251953125
common_1384,controlled+text_max,facedancer,449,150,299,0.9291638795986622,0.6572240802675585,0.98,0.33444816053511706,0.9706803385416667,1.0,0.6655916450015678,0.8251953125
common_1384,controlled+text_max,textdiffuserft_bfei,448,149,299,0.6393459181612086,0.5329958923480955,0.7315436241610739,0.33444816053511706,0.7424283123656408,0.9873046875,0.6655916450015678,0.8251953125
common_1384,augmented,all,1384,1085,299,0.2624724504107393,0.5085677296055977,0.1576036866359447,0.8595317725752508,0.19925080048873128,0.03778076171875,0.23825052829091764,0.1175537109375
common_1384,augmented,digital_3,1085,786,299,0.08956913205170756,0.4348549448117984,0.010178117048346057,0.8595317725752508,0.052471578272851066,0.03253173828125,0.23825052829091764,0.1175537109375
common_1384,augmented,facedancer,449,150,299,0.9675919732441471,0.9030992196209587,0.9466666666666667,0.8595317725752508,0.938189697265625,1.0,0.23825052829091764,0.1175537109375
common_1384,augmented,textdiffuserft_bfei,448,149,299,0.4647145967542816,0.5002356849453435,0.14093959731543623,0.8595317725752508,0.22963760683200504,0.09576416015625,0.23825052829091764,0.1175537109375
common_1384,augmented+text_max,all,1384,1085,299,0.37995931137586114,0.4047500886210564,0.4248847926267281,0.38461538461538464,0.45108179892263106,0.198974609375,0.6462183923625627,0.78271484375
common_1384,augmented+text_max,digital_3,1085,786,299,0.23352225824844475,0.3252593462517127,0.26590330788804073,0.38461538461538464,0.3025800981594406,0.0557403564453125,0.6462183923625627,0.78271484375
common_1384,augmented+text_max,facedancer,449,150,299,0.9067335562987737,0.678974358974359,0.9733333333333334,0.38461538461538464,0.9681315104166667,1.0,0.6462183923625627,0.78271484375
common_1384,augmented+text_max,textdiffuserft_bfei,448,149,299,0.6221296940584947,0.5480123902942695,0.7114093959731543,0.38461538461538464,0.7139333430552642,0.9853515625,0.6462183923625627,0.78271484375
