eval_split,variant,hardware_source,file_stem,trufor_score,native_width,native_height,pixels,image_path,cache_path
official_test,textdiffuserft_bfei,huawei,chinese2-flickr_M_33552319041_2631ab0a0c_c,0.976691961288452,3248,2088,6781824,test/attack/textdiffuserft_bfei/huawei/chinese2-flickr_M_33552319041_2631ab0a0c_c.jpg,data/processed/policy_c_official_test/test/attack/textdiffuserft_bfei/huawei/chinese2-flickr_M_33552319041_2631ab0a0c_c.jpg
official_test,facedancer,huawei,chinese2-flickr_F_16858102101_d4c5c1e7a2_c,0.7599859833717346,3253,2073,6743469,test/attack/facedancer/huawei/chinese2-flickr_F_16858102101_d4c5c1e7a2_c.jpg,data/processed/policy_c_official_test/test/attack/facedancer/huawei/chinese2-flickr_F_16858102101_d4c5c1e7a2_c.jpg
official_test,textdiffuserft_bfei,huawei,chinese2-flickr_F_25164805428_423bc49285_o,0.9536219835281372,3250,2064,6708000,test/attack/textdiffuserft_bfei/huawei/chinese2-flickr_F_25164805428_423bc49285_o.jpg,data/processed/policy_c_official_test/test/attack/textdiffuserft_bfei/huawei/chinese2-flickr_F_25164805428_423bc49285_o.jpg
official_test,textdiffuserft_bfei,huawei,chinese2-flickr_F_32689517821_bfacb0e1ba_h,0.7515942454338074,3230,2065,6669950,test/attack/textdiffuserft_bfei/huawei/chinese2-flickr_F_32689517821_bfacb0e1ba_h.jpg,data/processed/policy_c_official_test/test/attack/textdiffuserft_bfei/huawei/chinese2-flickr_F_32689517821_bfacb0e1ba_h.jpg
official_test,facedancer,huawei,netherland-flickr_F_10239917343_ca73cd29b5_h,0.5964261293411255,3255,2049,6669495,test/attack/facedancer/huawei/netherland-flickr_F_10239917343_ca73cd29b5_h.jpg,data/processed/policy_c_official_test/test/attack/facedancer/huawei/netherland-flickr_F_10239917343_ca73cd29b5_h.jpg
official_test,textdiffuserft_bfei,huawei,chinese2-flickr_M_38999105422_457bedeef7_o,0.9610083103179932,3225,2061,6646725,test/attack/textdiffuserft_bfei/huawei/chinese2-flickr_M_38999105422_457bedeef7_o.jpg,data/processed/policy_c_official_test/test/attack/textdiffuserft_bfei/huawei/chinese2-flickr_M_38999105422_457bedeef7_o.jpg
official_test,textdiffuserft_bfei,huawei,chinese2-flickr_M_31840786965_77af814416_h,0.9889553189277648,3223,2060,6639380,test/attack/textdiffuserft_bfei/huawei/chinese2-flickr_M_31840786965_77af814416_h.jpg,data/processed/policy_c_official_test/test/attack/textdiffuserft_bfei/huawei/chinese2-flickr_M_31840786965_77af814416_h.jpg
official_test,facedancer,huawei,netherland-flickr_F_20301931855_4cd18f8166_k,0.5664751529693604,3229,2055,6635595,test/attack/facedancer/huawei/netherland-flickr_F_20301931855_4cd18f8166_k.jpg,data/processed/policy_c_official_test/test/attack/facedancer/huawei/netherland-flickr_F_20301931855_4cd18f8166_k.jpg
official_test,facedancer,huawei,chinese2-flickr_M_32771950686_f8d5084d87_h,0.5590290427207947,3221,2060,6635260,test/attack/facedancer/huawei/chinese2-flickr_M_32771950686_f8d5084d87_h.jpg,data/processed/policy_c_official_test/test/attack/facedancer/huawei/chinese2-flickr_M_32771950686_f8d5084d87_h.jpg
official_test,facedancer,huawei,chinese2-flickr_M_3625086942_a3ed938d9c_c,0.6997418999671936,3235,2050,6631750,test/attack/facedancer/huawei/chinese2-flickr_M_3625086942_a3ed938d9c_c.jpg,data/processed/policy_c_official_test/test/attack/facedancer/huawei/chinese2-flickr_M_3625086942_a3ed938d9c_c.jpg
official_test,textdiffuserft_bfei,huawei,chinese2-flickr_M_16743317854_732a16acc8_k,0.9954484105110168,3220,2059,6629980,test/attack/textdiffuserft_bfei/huawei/chinese2-flickr_M_16743317854_732a16acc8_k.jpg,data/processed/policy_c_official_test/test/attack/textdiffuserft_bfei/huawei/chinese2-flickr_M_16743317854_732a16acc8_k.jpg
official_test,facedancer,huawei,chinese2-flickr_M_26097180114_4c514c928d_c,0.7181987166404724,3233,2050,6627650,test/attack/facedancer/huawei/chinese2-flickr_M_26097180114_4c514c928d_c.jpg,data/processed/policy_c_official_test/test/attack/facedancer/huawei/chinese2-flickr_M_26097180114_4c514c928d_c.jpg
