eval_split,variant,image_path,file_stem,hardware_source,region_index_within_image,field_name,kind,original_x0,original_y0,original_x1,original_y1,clipped,native_width,native_height,valid_after_clip,x0,y0,x1,y1
dev_val,digital_1,train/attack/digital_1/huawei/arabic-024_03.jpg,arabic-024_03,huawei,0,face,face,231,705,969,1444,False,3211,1971,True,231,705,969,1444
dev_val,digital_1,train/attack/digital_1/huawei/arabic-024_03.jpg,arabic-024_03,huawei,1,dob,text,1533,1219,1769,1365,False,3211,1971,True,1533,1219,1769,1365
dev_val,digital_1,train/attack/digital_1/huawei/arabic-024_03.jpg,arabic-024_03,huawei,2,doe,text,1521,1752,1763,1904,False,3211,1971,True,1521,1752,1763,1904
dev_val,digital_1,train/attack/digital_1/huawei/arabic-024_03.jpg,arabic-024_03,huawei,3,name,text,1244,719,1932,859,False,3211,1971,True,1244,719,1932,859
dev_val,digital_1,train/attack/digital_1/iphone15pro/arabic-024_03.jpg,arabic-024_03,iphone15pro,0,face,face,205,657,849,1300,False,2769,1748,True,205,657,849,1300
dev_val,digital_1,train/attack/digital_1/iphone15pro/arabic-024_03.jpg,arabic-024_03,iphone15pro,1,dob,text,1341,1086,1542,1190,False,2769,1748,True,1341,1086,1542,1190
dev_val,digital_1,train/attack/digital_1/iphone15pro/arabic-024_03.jpg,arabic-024_03,iphone15pro,2,doe,text,1349,1548,1552,1654,False,2769,1748,True,1349,1548,1552,1654
dev_val,digital_1,train/attack/digital_1/iphone15pro/arabic-024_03.jpg,arabic-024_03,iphone15pro,3,name,text,1074,650,1663,751,False,2769,1748,True,1074,650,1663,751
dev_val,digital_1,train/attack/digital_1/scan/arabic-024_03.jpg,arabic-024_03,scan,0,face,face,148,456,627,934,False,2003,1244,True,148,456,627,934
dev_val,digital_1,train/attack/digital_1/scan/arabic-024_03.jpg,arabic-024_03,scan,1,dob,text,976,773,1131,853,False,2003,1244,True,976,773,1131,853
dev_val,digital_1,train/attack/digital_1/scan/arabic-024_03.jpg,arabic-024_03,scan,2,doe,text,992,1116,1149,1203,False,2003,1244,True,992,1116,1149,1203
dev_val,digital_1,train/attack/digital_1/scan/arabic-024_03.jpg,arabic-024_03,scan,3,name,text,780,459,1215,532,False,2003,1244,True,780,459,1215,532
