eval_split,group_type,group,n,n_attack,n_bonafide,auroc,accuracy,balanced_accuracy,attack_recall,bonafide_specificity,mean_attack_score,mean_bonafide_score
dev_val,overall,all,459,306,153,0.8428382246144646,0.7494553376906318,0.6454248366013072,0.9575163398692811,0.3333333333333333,0.7780085457306282,0.5409122142526839
dev_val,attack_family_vs_bonafide,digital_1,306,153,153,0.986244606775172,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.9180955586869732,0.5409122142526839
dev_val,attack_family_vs_bonafide,digital_2,306,153,153,0.6994318424537571,0.6241830065359477,0.6241830065359477,0.9150326797385621,0.3333333333333333,0.6379215327742832,0.5409122142526839
dev_val,hardware,huawei,153,102,51,0.7875816993464052,0.6666666666666666,0.5049019607843137,0.9901960784313726,0.0196078431372549,0.7719688345404232,0.6294000242270675
dev_val,hardware,iphone15pro,153,102,51,0.9505959246443676,0.869281045751634,0.8235294117647058,0.9607843137254902,0.6862745098039216,0.8034573878143348,0.4331325643202838
dev_val,hardware,scan,153,102,51,0.7950788158400615,0.7124183006535948,0.6078431372549019,0.9215686274509803,0.29411764705882354,0.7585994148371267,0.5602040542107002
official_test,overall,all,1385,1085,300,0.9439477726574502,0.8274368231046931,0.6330184331797235,0.976036866359447,0.29,0.9239608130696731,0.5465092131992181
official_test,attack_family_vs_bonafide,digital_3,1086,786,300,0.998960983884648,0.8038674033149171,0.645,1.0,0.29,0.9786057278096828,0.5465092131992181
official_test,attack_family_vs_bonafide,facedancer,450,150,300,0.6012666666666666,0.4688888888888889,0.5583333333333333,0.8266666666666667,0.29,0.5845357382297516,0.5465092131992181
official_test,attack_family_vs_bonafide,textdiffuserft_bfei,449,149,300,0.9987248322147652,0.5256124721603563,0.645,1.0,0.29,0.9774028146826981,0.5465092131992181
official_test,hardware,huawei,461,361,100,0.9433795013850417,0.8047722342733189,0.5644598337950139,0.9889196675900277,0.14,0.9307483887078029,0.5737004056572914
official_test,hardware,iphone15,200,100,100,0.8511000000000001,0.695,0.6950000000000001,0.84,0.55,0.8014440941810608,0.4829294566810131
official_test,hardware,iphone15pro,262,262,0,,1.0,,1.0,,0.9965877219010856,
official_test,hardware,scan,462,362,100,0.9240055248618785,0.8095238095238095,0.5817127071823205,0.9834254143646409,0.18,0.898472158289746,0.5828977772593498
